#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/25/23,C,UCF,Amer,Houston,H,"L, 82-71",136,119.8,60.8,116.8,51.9,13.2,29,35.8,135,60.5,16.5,47.1,35.1,81.2,-6
2,2,2/11/23,C,UCF,Amer,Tulsa,H,"W, 96-52",133.6,99.5,63,152.5,67.9,4.8,31,9,82.6,41.3,25.4,37.8,32.7,96.7,12
3,3,1/11/23,C,UCF,Amer,Memphis,H,"W, 107-104",131.2,111.4,69.7,122.8,53.6,20.7,40.5,53.6,119.3,55.1,16.1,31.4,44.9,86.7,-1
4,4,1/8/23,C,UCF,Amer,SMU,H,"W, 85-53",125.4,92.8,64.1,132.7,61.4,18.7,48.3,35.1,82.7,48.9,23.4,14.3,35.6,97,8
5,5,3/5/23,C,UCF,Amer,East Carolina,H,"W, 84-58",123.7,91.6,66.9,125.5,58.8,19.4,38.7,35.1,86.7,42.6,23.9,25.7,55.3,97,14
6,6,12/14/22,N,UCF,Amer,Mississippi,A,"W, 72-61",123.3,89.2,63.4,113.6,48.4,17.4,45.9,22.2,96.3,50,23.7,35.3,32.7,97.6,13
7,7,12/31/22,C,UCF,Amer,Houston,A,"L, 71-65",122.9,98.5,62.7,103.6,44.4,20.7,38.9,37,113.2,42.2,12.8,45.2,32.8,92.7,-4
8,8,2/19/23,C,UCF,Amer,Cincinnati,H,"L, 73-71",118.7,109.9,62.9,112.9,54.5,14.3,33.3,29.1,116.1,58.5,23.9,44,28.3,70.7,-2
9,9,12/21/22,N,UCF,Amer,Stetson,H,"W, 73-58",117.4,99.8,56.1,130.2,55,14.3,45.2,13.3,103.4,45.8,12.5,39.5,8.3,86.6,6
10,10,12/11/22,N,UCF,Amer,Tarleton St.,H,"W, 75-49",117.4,87.5,61.9,121.2,63,21,32.1,36,79.2,43.3,25.9,21.4,28.9,96.7,7
11,11,3/10/23,CT,UCF,Amer,Memphis,N,"L, 81-76",114.2,102.8,72.3,105.1,48.5,22.1,43.2,26.2,112.1,55.1,12.5,18.8,33.9,77,-4
12,12,11/7/22,N,UCF,Amer,UNC Asheville,H,"L, 98-95",111.9,118.4,68.2,111.5,51.9,16.4,36.2,18.5,115,59.8,22.3,35.3,39.4,34.5,-1
13,13,3/9/23,CT,UCF,Amer,SMU,N,"W, 76-70",110.9,108.8,67.4,112.8,52.5,8.9,26.5,26.2,103.9,48.3,20.8,33.3,21.7,55.6,-4
14,14,2/8/23,C,UCF,Amer,Wichita St.,A,"W, 72-67",110.3,96.5,67.8,106.2,47.6,19.2,36.6,23.8,98.8,55.3,26.5,26.9,42.6,82.2,-3
15,15,2/26/23,C,UCF,Amer,Tulsa,A,"W, 68-49",107.6,80.1,62.1,109.5,50,17.7,35.3,24.6,78.9,41.1,25.8,23.3,35.6,96.7,14
16,16,1/21/23,C,UCF,Amer,South Florida,A,"L, 85-72",106,114.1,71.2,101.2,49.1,16.9,25.7,45.5,119.4,53.3,22.5,41.7,36.1,29.9,-4
17,17,2/22/23,C,UCF,Amer,South Florida,H,"L, 82-75",104.9,113.4,71.8,104.4,45.7,15.3,21.4,50,114.2,62.3,26.5,45.2,47.2,28.9,-3
18,18,12/17/22,N,UCF,Amer,Missouri,N,"L, 68-66",104.1,96.8,62.7,105.3,54.8,23.9,33.3,28.8,108.5,64.1,23.9,24,28.3,69.7,-3
19,19,1/4/23,C,UCF,Amer,East Carolina,A,"W, 64-61",103.2,97.2,63.5,100.8,48,20.5,33.3,35.3,96.1,42.1,14.2,30,38.6,66.7,2
20,20,11/27/22,N,UCF,Amer,Miami FL,H,"L, 66-64",103,96.4,61.9,103.4,49.1,24.2,48.3,32.1,106.6,53.7,24.2,40.6,22.2,68.1,-3
21,21,12/4/22,N,UCF,Amer,Samford,H,"W, 80-77",102.7,100.5,67.1,106,51.8,18.6,24.2,61.8,102,44.9,13.3,24.3,49.2,56.2,1
22,22,12/28/22,C,UCF,Amer,Wichita St.,H,"W, 52-45",100.9,82.3,53.5,97.3,40.6,16.8,41.2,18.9,84.2,43.8,28.1,25.9,32.5,91.2,4
23,23,11/11/22,N,UCF,Amer,Florida St.,H,"W, 68-54",98.8,83.7,66,103.1,45.2,30.3,61.5,25.4,81.9,44.6,19.7,20,12.5,87.1,8
24,24,1/28/23,C,UCF,Amer,Temple,H,"L, 77-70",96.6,96.9,67.7,91.9,44.8,19.7,24.3,43.1,101.1,52.6,22.3,26.5,42.1,49,0
25,25,3/2/23,C,UCF,Amer,Temple,A,"L, 57-55",96.4,92.2,59.5,92.4,45.5,16.8,11.5,38.6,95.8,42.9,20.2,35.5,42.9,62.3,-2
26,26,11/14/22,N,UCF,Amer,Western Illinois,H,"W, 70-37",95.6,66,64.2,108.9,52.5,12.5,28.1,14.8,57.6,29.6,28,31,20.4,98.6,13
27,27,11/23/22,N,UCF,Amer,Evansville,H,"W, 76-56",95,93.9,72.9,104.3,59.6,26.1,23.3,34.6,76.9,39.5,19.2,20.5,21,53.2,6
28,28,2/4/23,C,UCF,Amer,Cincinnati,A,"L, 73-64",93.6,92,73.4,87.2,51.9,32.7,33.3,20.4,99.4,49.2,17.7,25.7,25.8,54.9,-7
29,29,11/20/22,N,UCF,Amer,Santa Clara,N,"W, 57-50",93,72.9,64.2,88.7,49.1,21.8,23.5,17,77.8,37.3,28,40.5,18.6,94.3,5
30,30,2/16/23,C,UCF,Amer,Memphis,A,"L, 64-63",90.4,82.4,73.3,85.9,39.5,20.5,27.5,27.4,87.3,56.8,32.7,17.4,40.9,74.3,-8
31,31,11/18/22,N,UCF,Amer,Oklahoma St.,N,"W, 60-56",88.5,77.7,65.1,81.9,38.1,28.7,33.3,28.8,76.5,31,24.6,38.1,41.4,81.7,-7
32,32,1/14/23,C,UCF,Amer,Tulane,A,"L, 77-69",86.5,92.5,80.3,86,43.4,22.4,26.2,17.6,95.9,46.5,17.4,11.4,47.4,31.8,-9
