#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/14/22,N,UCLA,P12,Maryland,A,"W, 87-60",143.6,78.9,67.7,128.6,59.5,5.9,13.8,22.2,88.7,50,23.6,23.5,23.1,99.9,20
2,2,2/23/23,C,UCLA,P12,Utah,A,"W, 78-71",129.5,98,68.1,114.5,57.1,8.8,25.7,22.2,104.3,48.3,17.6,30.6,30,96.1,8
3,3,12/1/22,C,UCLA,P12,Stanford,A,"W, 80-66",126.9,84.5,66.9,119.5,64.8,23.9,35,20.4,98.6,53.8,25.4,34.4,26.4,99.1,16
4,4,3/9/23,CT,UCLA,P12,Colorado,N,"W, 80-69",126.8,105,67.5,118.6,50.9,13.3,31.2,56.4,102.3,60.8,22.2,17.9,21.6,89.7,1
5,5,11/14/22,N,UCLA,P12,Norfolk St.,H,"W, 86-56",124.1,93,63.2,136,67,11.1,33.3,32.1,88.6,49.1,20.6,20.7,7.3,96.5,12
6,6,11/23/22,N,UCLA,P12,Pepperdine,H,"W, 100-53",123.3,84,72.9,137.2,62.7,12.3,40.6,29.9,72.7,40.8,23.3,18.4,11.7,98.8,12
7,7,1/19/23,C,UCLA,P12,Arizona St.,A,"W, 74-62",123.3,99.2,63.8,115.9,55.8,20.4,40.7,40.4,97.1,54.1,28.2,32.1,24.5,92.4,0
8,8,2/4/23,C,UCLA,P12,Washington St.,H,"W, 76-52",118.3,80.7,64.9,117,55.6,15.4,38.2,17.7,80.1,39.1,23.1,28.9,25.5,98.8,8
9,9,1/12/23,C,UCLA,P12,Utah,H,"W, 68-49",116,80.2,62,109.7,54.2,19.4,43.8,13.3,79,42.9,25.8,23.5,22.4,98.6,9
10,10,1/26/23,C,UCLA,P12,USC,A,"L, 77-64",115.2,105.8,63.5,100.7,42.9,20.5,41.7,35.7,121.2,58.8,14.2,20.8,35.3,72.7,1
11,11,1/1/23,C,UCLA,P12,Washington,A,"W, 74-49",115.1,76,66.7,110.9,52.3,12,26.5,12.5,73.5,36.4,19.5,25,29.1,99.2,10
12,12,2/18/23,C,UCLA,P12,California,H,"W, 78-43",114.9,73.9,66,118.1,56.9,15.1,31,25.9,65.1,25,21.2,22,46,99.4,18
13,13,3/2/23,C,UCLA,P12,Arizona St.,H,"W, 79-61",114.1,88.4,72.2,109.5,45.2,26.3,52.6,43.5,84.5,49,22.2,15.6,40,95,4
14,14,11/27/22,N,UCLA,P12,Bellarmine,H,"W, 81-60",113.8,94.6,66.7,121.5,63.7,12,19,43.1,90,52.8,30,29,11.1,89.3,11
15,15,1/5/23,C,UCLA,P12,USC,H,"W, 60-58",113.5,86.8,59,101.8,42.2,13.6,40,29.3,98.4,50,17,23.1,11.3,95.6,9
16,16,11/20/22,N,UCLA,P12,Baylor,N,"L, 80-75",113.4,98.6,68.8,109.1,50.8,11.6,22.9,26.2,116.3,53.6,16,27.3,41.1,83.3,-3
17,17,11/11/22,N,UCLA,P12,Long Beach St.,H,"W, 93-69",113.3,86.5,81.1,114.7,52.7,18.5,40,22.7,85.1,40.9,21,27.9,28.8,95.7,13
18,18,2/2/23,C,UCLA,P12,Washington,H,"W, 70-61",113,88.9,66.9,104.7,54.7,26.9,46.7,34,91.2,53.1,29.9,24.1,26.5,94,11
19,19,3/10/23,CT,UCLA,P12,Oregon,N,"W, 75-56",112.6,82.2,66.4,113,52.5,7.5,15.2,25,84.4,35.7,13.6,32.6,25.4,97.4,3
20,20,3/4/23,C,UCLA,P12,Arizona,H,"W, 82-73",112.4,84.6,77,106.5,46.3,15.6,29.7,32.8,94.8,54.4,22.1,18.2,28.1,96.3,3
21,21,2/11/23,C,UCLA,P12,Oregon,A,"W, 70-63",111.5,87,66,106,46.7,12.1,29.3,35,95.4,51,24.2,20.7,35.4,94.5,3
22,22,2/16/23,C,UCLA,P12,Stanford,H,"W, 73-64",111.2,98.1,62.9,116.1,50,11.1,35.1,43.9,101.8,55.4,22.3,34.5,10.7,80.8,-1
23,23,12/30/22,C,UCLA,P12,Washington St.,A,"W, 67-66",110.8,97.3,64.1,104.6,39.7,9.4,26.3,37.9,103,50,21.8,36.4,21.4,81.6,-5
24,24,12/21/22,N,UCLA,P12,UC Davis,H,"W, 81-54",110.7,83.3,70.2,115.4,53,17.1,41.2,20.9,76.9,42.9,28.5,32.4,17.9,96.3,9
25,25,12/10/22,N,UCLA,P12,Denver,H,"W, 87-64",109.7,93.2,73.9,117.7,51.9,8.1,30.2,10.1,86.6,55.4,32.5,30.8,45.7,86.7,11
26,26,2/9/23,C,UCLA,P12,Oregon St.,A,"W, 62-47",105,80.8,61,101.6,56,24.6,29.6,18,77,41.1,29.5,24.1,22.2,95.3,9
27,27,12/4/22,C,UCLA,P12,Oregon,H,"W, 65-56",103.6,87.1,62.3,104.4,43.8,14.5,44.4,17.2,89.9,53.1,24.1,20,14.3,88,-1
28,28,2/26/23,C,UCLA,P12,Colorado,A,"W, 60-56",103.1,88,63.7,94.2,41.7,14.1,25.7,40.7,87.9,39.8,18.8,35,42.6,86.1,-2
