#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/30/22,N,UMBC,AE,Coppin St.,H,"W, 109-82",128.5,107.7,78.6,138.6,62.5,11.4,37.2,25,104.3,54.6,22.9,20,55.6,88.4,25
2,2,1/21/23,C,UMBC,AE,New Hampshire,H,"W, 80-69",124,114.4,64.2,124.7,62.7,12.5,28.6,18.6,107.5,47.7,12.5,38.1,23.1,71.7,11
3,3,12/3/22,N,UMBC,AE,Lehigh,A,"W, 88-62",121.1,87.9,73.2,120.2,63.3,21.9,36.7,15.6,84.7,50,23.2,8.8,22.6,97.6,19
4,4,11/22/22,N,UMBC,AE,UNC Greensboro,A,"L, 76-72",118.7,121.4,64,112.5,55.3,20.3,34.3,26.3,118.8,60.9,23.4,43.5,54.3,43.7,-7
5,5,1/18/23,C,UMBC,AE,UMass Lowell,A,"L, 81-75",115.4,117.1,66.3,113.2,55.2,13.6,26.7,22.4,122.2,57.5,16.6,38.2,7.5,45.8,-4
6,6,1/16/23,N,UMBC,AE,Hartford,H,"W, 87-62",115.3,111.8,65.5,132.8,66.7,12.2,25.9,16.7,94.6,56.7,18.3,10,17.3,58.7,14
7,7,1/5/23,C,UMBC,AE,Albany,H,"W, 92-83",114.4,125.1,71.7,128.3,57.9,8.4,26.5,41.3,115.8,53.2,18.1,37.1,30.6,26.4,6
8,8,1/8/23,C,UMBC,AE,Bryant,A,"W, 81-73",114.3,105.4,69.7,116.3,53.7,7.2,23.7,16.2,104.8,49.2,10.1,19.4,27.4,71.7,4
9,9,1/14/23,C,UMBC,AE,Maine,H,"W, 85-77",110.4,122.7,70.7,120.2,61.2,18.4,25,65.3,108.9,57.8,15.6,9.7,19,22.8,-6
10,10,12/18/22,N,UMBC,AE,William & Mary,H,"W, 78-62",110.1,105.7,63.9,122.1,58,11,18.5,26.8,97,46.4,17.2,31.4,25,61.6,7
11,11,2/11/23,C,UMBC,AE,Bryant,H,"W, 76-73",109.6,109.7,67.5,112.6,52.5,10.4,21.2,30.5,108.1,56.7,20.7,31,42.3,49.7,3
12,12,11/18/22,N,UMBC,AE,Lafayette,H,"W, 71-63",108.8,112,64.3,110.4,53.9,15.5,21.9,43.1,97.9,55.1,23.3,20,22.4,42,2
13,13,1/28/23,C,UMBC,AE,Vermont,A,"L, 74-68",108.1,108.3,64.4,105.7,48.4,18.6,36.8,19.4,115,52.6,7.8,25,33.3,49.6,-5
14,14,11/20/22,N,UMBC,AE,Central Connecticut,H,"W, 78-76",105.3,127.9,66.2,117.9,59.4,15.1,17.2,34,114.9,62.5,15.1,17.9,17.9,9.7,-2
15,15,12/13/22,N,UMBC,AE,Loyola MD,A,"W, 72-69",103.5,112.1,64.9,110.9,51.7,13.9,35.3,28.8,106.3,50.8,20,37.8,16.1,28.5,0
16,16,2/1/23,C,UMBC,AE,Binghamton,H,"W, 69-55",101.7,91.8,64.2,107.6,49.1,12.5,23.5,30.4,85.7,41.2,14,20,19.3,76.4,9
17,17,12/6/22,N,UMBC,AE,Columbia,A,"W, 73-66",101,108.3,67.9,107.5,48.3,17.7,35.3,34.5,97.2,51.6,19.1,23.1,11.5,31.1,1
18,18,2/22/23,C,UMBC,AE,UMass Lowell,H,"L, 75-70",100,114.8,66.7,104.9,50,15,24.2,25.4,112.4,53.8,18,36.4,49.1,17,-10
19,19,12/10/22,N,UMBC,AE,Morgan St.,H,"W, 75-63",99.3,93.9,74.7,100.5,54,21.4,27.8,17.5,84.4,38.5,18.8,27.9,26.2,65.4,10
20,20,11/26/22,N,UMBC,AE,Georgetown,A,"L, 79-70",99.2,110.4,70.8,98.8,41.2,14.1,31.9,26.5,111.5,49.3,8.5,25.6,22.1,22.5,-4
21,21,12/29/22,N,UMBC,AE,Maryland,A,"L, 80-64",97.9,95.3,74.4,86,41.4,20.2,27.9,25,107.5,53.7,16.1,22.6,59.3,57.8,-5
22,22,1/1/23,C,UMBC,AE,Vermont,H,"L, 74-61",97.9,111.5,63.2,96.5,41.1,12.7,31,19.4,117.1,63.7,19,20.8,23.5,18.4,-7
23,23,2/18/23,C,UMBC,AE,New Hampshire,A,"L, 75-66",97.2,113.2,69.2,95.4,50.8,21.7,28.1,15.3,108.4,52.5,14.5,22.6,25.4,14.8,-3
24,24,11/14/22,N,UMBC,AE,Princeton,H,"L, 94-64",96.4,125.6,70.4,90.9,40,14.2,28.6,23.1,133.5,67.2,17,40.7,18.8,4.6,-10
25,25,2/15/23,C,UMBC,AE,Albany,A,"L, 81-74",96,121.2,70.5,105,40.7,11.4,23.7,45.8,114.9,54,17,34.3,23.8,6.4,-4
26,26,11/7/22,N,UMBC,AE,Tulane,A,"L, 89-67",95.1,111.5,74.2,90.4,42.6,12.1,9.1,27.9,120,58,9.4,23.5,15.9,13.8,-11
27,27,2/28/23,C,UMBC,AE,Binghamton,A,"W, 70-67",94.2,96.2,64.3,96.7,40.6,8.3,26.1,27.5,92.6,39.9,13.8,34,13.5,43.9,3
28,28,1/25/23,C,UMBC,AE,NJIT,A,"L, 69-65",92.4,106.5,67.8,95.9,48.4,13.3,22.5,19,101.8,52.5,20.7,31.4,13.3,16.4,-1
29,29,2/8/23,C,UMBC,AE,NJIT,H,"W, 72-63",92.2,104.7,68.9,104.4,54.5,13.1,9.4,29.1,91.4,48.3,20.3,23.1,15,18.8,-5
30,30,3/4/23,CT,UMBC,AE,Binghamton,H,"L, 67-65",91.2,108,66.9,97.1,45.5,10.5,16.2,33.9,100.1,50,16.4,19.4,49,12.6,-2
