#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/9/23,C,UMKC,Sum,Western Illinois,A,"W, 76-64",117.9,111.9,59.8,127,64.7,18.4,36,27.5,107,51,8.4,12.5,38,64.7,4
2,2,1/7/23,C,UMKC,Sum,Oral Roberts,A,"L, 74-71",117.5,102.5,64.3,110.4,57.9,20.2,36.7,15.8,115,59.4,18.7,21.4,50,82.7,3
3,3,11/21/22,N,UMKC,Sum,Toledo,N,"W, 83-71",115.8,95.4,66.7,124.4,60,16.5,39.1,56,106.4,45.5,12,31.6,19.7,90.3,3
4,4,1/12/23,C,UMKC,Sum,St. Thomas,H,"W, 81-60",113,98.6,64.8,125,56.5,13.9,40,50,92.6,34.8,13.9,30.8,48.2,82.7,3
5,5,1/21/23,C,UMKC,Sum,North Dakota St.,A,"W, 75-73",111.9,107.4,66.9,112.1,54.5,14.9,27.8,45.5,109.1,60.2,20.9,25,42.9,61.5,3
6,6,12/31/22,C,UMKC,Sum,Nebraska Omaha,A,"W, 75-59",108.6,102.8,62.6,119.8,67.4,27.2,36.4,37,94.2,51.1,20.8,11.5,33.3,65.3,3
7,7,1/30/23,C,UMKC,Sum,South Dakota St.,H,"L, 67-66",102.4,115.5,61.1,108.1,45.8,13.1,33.3,21.7,109.7,57.4,16.4,27.6,44.7,20.2,-5
8,8,1/28/23,C,UMKC,Sum,Denver,H,"W, 70-60",98,101.2,65.1,107.5,43.1,16.9,48.8,29.2,92.1,35.9,29.2,48.4,69.6,40.9,1
9,9,11/29/22,N,UMKC,Sum,Idaho St.,H,"L, 75-65",97.8,123.9,63.2,102.9,40.4,12.7,31.4,43.9,118.7,53.8,11.1,29,37.7,6.2,-7
10,10,12/19/22,C,UMKC,Sum,South Dakota,H,"W, 62-45",97.4,87.2,56,110.6,45.3,19.6,51.5,35.8,80.3,39.5,28.5,32.4,39.5,78.1,6
11,11,12/6/22,N,UMKC,Sum,Oklahoma,A,"L, 75-53",97.1,101.5,65,81.5,39.6,24.6,35.1,32.1,115.3,65.6,21.5,14.3,46.7,37.4,-3
12,12,11/22/22,N,UMKC,Sum,Indiana St.,N,"W, 63-61",95.9,86.2,67.4,93.5,40,19.3,36.4,62,90.5,50,26.7,27.3,37.3,77.4,1
13,13,11/23/22,N,UMKC,Sum,Florida Gulf Coast,N,"L, 73-59",95.1,123.9,60.1,98.2,40.7,18.3,42.9,30.5,121.5,49.2,5,35,21.9,4.5,-10
14,14,12/29/22,C,UMKC,Sum,Denver,A,"L, 85-83",94.7,105.6,61,99,42.6,10.7,25.5,22.2,101.4,43.2,19.1,38.6,54.5,22.2,-4
15,15,2/18/23,C,UMKC,Sum,North Dakota,H,"L, 81-73",94.3,112.8,72.6,100.6,43.5,22,38.2,61.1,111.6,46.2,8.3,14.3,73.6,11.3,-2
16,16,1/26/23,C,UMKC,Sum,Nebraska Omaha,H,"W, 64-61",93.5,105,62.5,102.5,39.8,19.2,46.2,33.9,97.7,43,16,26.5,48,20.9,1
17,17,12/10/22,N,UMKC,Sum,Green Bay,A,"L, 70-64",91.8,118.3,65.7,97.5,39.8,18.3,44.2,26.6,106.6,56.2,25.9,21.7,75,5.1,-1
18,18,11/17/22,N,UMKC,Sum,Kansas St.,A,"L, 69-53",90.8,99.1,65.1,81.4,44.9,33.8,40.6,30.6,106,47.4,21.5,42.9,29.3,26.7,-11
19,19,2/4/23,C,UMKC,Sum,Oral Roberts,H,"L, 85-57",90.3,111.9,68.1,83.8,34.2,19.1,37.2,40,124.9,60.3,19.1,45.2,19,7.8,-10
20,20,11/9/22,N,UMKC,Sum,LSU,A,"L, 74-63",86.3,98.4,73.6,85.6,36.2,21.7,25.6,46.6,100.6,49.1,20.4,32.5,45.6,18.1,-8
21,21,12/3/22,N,UMKC,Sum,Lindenwood,H,"W, 61-47",86.2,79.6,65.1,93.8,46.9,30.7,46.9,50,72.3,32.8,16.9,20.5,20.7,71.4,9
22,22,2/23/23,C,UMKC,Sum,South Dakota St.,A,"L, 73-50",86.1,111.1,62.3,80.3,38.8,20.9,28.2,8.6,117.2,63.2,16.1,25,20.8,5,-7
23,23,3/3/23,CT,UMKC,Sum,Nebraska Omaha,N,"L, 73-61",84.9,121.9,64.8,94.2,43.3,15.4,30.8,25,112.7,52.8,9.3,20,45.3,1.5,-12
24,24,1/19/23,C,UMKC,Sum,North Dakota,A,"L, 77-60",83.5,110.9,68.8,87.2,41.7,20.4,25,38.9,111.9,58.9,20.4,26.5,28.6,3.7,-9
25,25,2/25/23,C,UMKC,Sum,South Dakota,A,"L, 82-48",82.6,132,59.4,80.9,41.8,21.9,25,26.5,138.1,68.6,6.7,20.8,35.3,0.5,-11
26,26,2/16/23,C,UMKC,Sum,North Dakota St.,H,"L, 69-58",80.6,102.3,69.1,83.9,34.8,15.9,33.3,24.2,99.9,50.9,21.7,26.7,29.6,6.1,-7
27,27,11/11/22,N,UMKC,Sum,Illinois,A,"L, 86-48",79.1,100.7,74.8,64.1,33.6,32.1,34.1,10.9,114.9,53.1,14.7,35.9,40.6,5.8,-11
28,28,1/14/23,C,UMKC,Sum,Western Illinois,H,"L, 60-52",77.8,101.5,61.9,84.1,33.6,16.2,41.3,13.4,97,45,22.6,39.4,44,4.5,-5
29,29,11/26/22,N,UMKC,Sum,SIU Edwardsville,H,"L, 64-54",77.3,95.7,69.7,77.5,34.7,21.5,31.7,37.3,91.8,34.3,14.3,40.4,31.3,8,-3
30,30,2/11/23,C,UMKC,Sum,St. Thomas,A,"L, 73-43",73.6,116.2,59.5,72.3,29.4,21.9,33.3,41.2,122.7,53.8,11.8,34.5,40.4,0.5,-15
