#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/25/23,C,UMass Lowell,AE,New Hampshire,H,"W, 92-55",128.5,98.4,66.2,139,64.6,6,31,16.9,83.1,44.1,25.7,24.2,29.4,95.5,12
2,2,3/4/23,CT,UMass Lowell,AE,Maine,H,"W, 85-54",125.4,94.4,63.6,133.6,63,18.9,52.2,37,84.9,43.8,23.6,36.4,17.9,96.3,15
3,3,1/22/23,C,UMass Lowell,AE,Bryant,H,"W, 98-79",122.9,99.9,78.7,124.6,56.1,19.1,48.8,27,100.4,52.8,21.6,15.6,50,91.5,17
4,4,2/4/23,C,UMass Lowell,AE,NJIT,H,"W, 90-61",122.5,101.7,66.9,134.6,60.9,12,40,23.4,91.2,45.7,16.4,25.7,24.1,89.5,14
5,5,1/11/23,C,UMass Lowell,AE,Vermont,H,"W, 80-65",122,95.8,65.5,122.1,67,19.8,24,30,99.2,44.1,6.1,17.1,39,94.2,8
6,6,2/11/23,C,UMass Lowell,AE,Vermont,A,"L, 93-81",117.8,131.8,68.2,118.8,59.4,17.6,28,39.6,136.4,77.6,16.1,13.6,49,21.6,-14
7,7,2/18/23,C,UMass Lowell,AE,Binghamton,H,"W, 84-70",113.7,112.2,68.4,122.7,51.8,17.5,46.9,50.9,102.3,54.9,33.6,48,29.4,54,6
8,8,12/8/22,N,UMass Lowell,AE,Massachusetts,A,"W, 85-80",113.7,102.1,78.4,108.4,66.4,25.5,25,32.7,102,45.2,26.8,42.5,44.4,77.6,8
9,9,1/18/23,C,UMass Lowell,AE,UMBC,H,"W, 81-75",113.5,114.4,66.3,122.2,57.5,16.6,38.2,7.5,113.2,55.2,13.6,26.7,22.4,47.6,4
10,10,2/22/23,C,UMass Lowell,AE,UMBC,A,"W, 75-70",111.2,99.1,66.7,112.4,53.8,18,36.4,49.1,104.9,50,15,24.2,25.4,79,10
11,11,2/15/23,C,UMass Lowell,AE,Bryant,A,"W, 85-71",109.8,95,75.7,112.3,46.8,10.6,28.2,58.1,93.8,44.7,18.5,25.6,52.6,84.2,6
