#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/7/22,N,UNC Asheville,BSth,UCF,A,"W, 98-95",124.5,105.3,68.2,115,59.8,22.3,35.3,39.4,111.5,51.9,16.4,36.2,18.5,87.3,1
2,2,1/25/23,C,UNC Asheville,BSth,Presbyterian,H,"W, 88-80",118,132.4,61.7,126.8,57.6,14.4,36.4,44.1,115.2,54.1,20.2,42.9,32.8,21,2
3,3,2/2/23,C,UNC Asheville,BSth,High Point,H,"W, 89-63",116.9,102,68.5,129.9,64.3,17.5,34.5,42.9,92,44.1,21.9,35.9,27.1,82.8,10
4,4,12/3/22,N,UNC Asheville,BSth,Tennessee Martin,H,"W, 90-83",116.7,121.7,71.8,125.3,62.7,22.3,38.5,43.6,115.6,57.7,16.7,32.4,16.9,38.2,3
5,5,2/25/23,C,UNC Asheville,BSth,Longwood,A,"W, 76-66",115.6,106,64.8,117.3,67,21.6,18.2,50,101.8,45.9,15.4,32.4,21.3,72.9,-1
6,6,1/28/23,C,UNC Asheville,BSth,Campbell,A,"W, 78-65",114.6,103.6,64.1,121.8,59.3,12.5,23.1,33.3,101.5,53.1,18.7,19.4,36.7,76.1,3
7,7,12/13/22,N,UNC Asheville,BSth,South Carolina St.,A,"W, 94-84",110.5,110,79.1,118.8,71.7,26.5,34.6,52.8,106.1,40.7,6.3,31.4,25.9,51.3,9
8,8,2/11/23,C,UNC Asheville,BSth,Presbyterian,A,"W, 76-72",110.2,118.2,67,113.5,57.4,22.4,35.7,63.8,107.5,58.5,20.9,18.5,22.6,30.8,3
9,9,3/5/23,CT,UNC Asheville,BSth,Campbell,N,"W, 77-73",109.9,114.6,65.4,117.8,57.3,15.3,28.1,38.2,111.7,54,10.7,26.5,16.1,38.2,-4
10,10,2/18/23,C,UNC Asheville,BSth,Gardner Webb,H,"W, 75-63",106.9,99.9,69.7,107.5,56.9,21.5,29,52.9,90.3,43.4,20.1,30,23,68.4,3
11,11,12/17/22,N,UNC Asheville,BSth,East Tennessee St.,A,"W, 74-73",105.2,104,70.8,104.5,57.5,26.8,34.5,35.8,103.1,51.8,26.8,40.6,28.1,53.2,3
12,12,11/29/22,N,UNC Asheville,BSth,North Carolina Centr,A,"L, 79-66",104,121.8,66.8,98.7,62,29.9,26.9,34.8,118.2,61.8,23.9,32,33.3,13.9,-8
13,13,2/8/23,C,UNC Asheville,BSth,Winthrop,H,"W, 86-79",102.8,93.2,79,108.8,55.2,15.2,17.6,48.3,100,52.8,20.2,12.1,57.4,75.4,14
14,14,1/18/23,C,UNC Asheville,BSth,Charleston Southern,A,"W, 73-63",102.7,96.8,64.7,112.8,53.6,18.5,36.4,30.4,97.3,43.1,18.5,27.3,47.1,66.4,5
15,15,2/16/23,C,UNC Asheville,BSth,Radford,A,"W, 63-54",102.3,84.5,62.9,100.2,53.1,25.4,28.6,31.2,85.9,33.6,11.1,33.3,21.9,89.9,7
