#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,UNC Greensboro,SC,Chattanooga,A,"W, 93-76",129.9,103.1,70.5,131.9,62.7,11.3,35.7,44.1,107.8,52.4,17,25,22.2,93.4,11
2,2,2/7/23,C,UNC Greensboro,SC,East Tennessee St.,H,"W, 91-65",126.9,96.8,69.8,130.4,68,17.2,34.4,26.2,93.1,47.2,15.8,15.2,38.9,95.8,18
3,3,2/4/23,C,UNC Greensboro,SC,The Citadel,A,"W, 79-59",116,101,63.4,124.7,60.2,20.5,44.8,38.9,93.1,51,25.3,27.6,20,83,10
4,4,11/22/22,N,UNC Greensboro,SC,UMBC,H,"W, 76-72",112.8,110.9,64,118.8,60.9,23.4,43.5,54.3,112.5,55.3,20.3,34.3,26.3,54.9,7
5,5,1/14/23,C,UNC Greensboro,SC,Furman,A,"W, 88-80",112.8,97.9,68,115.1,51.9,14.4,20.6,77.4,104.6,52.5,17,17.1,33.3,83.5,-2
6,6,11/25/22,N,UNC Greensboro,SC,Montana St.,N,"W, 77-66",112.1,94.8,71.1,108.3,53.1,23.9,28.6,57.1,92.8,49,22.5,25.8,49,87.3,2
7,7,2/12/23,C,UNC Greensboro,SC,Wofford,H,"W, 97-89",111.7,115.5,68.5,125.9,52.1,13,40.5,42.9,115.5,58.6,14.3,27,39.1,40.5,1
8,8,2/2/23,C,UNC Greensboro,SC,Mercer,A,"W, 69-49",111.5,80.6,63.7,108.3,53.4,18.8,37.9,15.3,76.9,34.8,17.3,25,23.2,97.7,12
9,9,12/13/22,N,UNC Greensboro,SC,Marshall,H,"W, 75-67",108.8,95.8,68.9,108.8,52.4,21.8,40.5,17.5,97.2,41.7,13.1,38.8,22.2,81.2,1
10,10,11/11/22,N,UNC Greensboro,SC,Miami FL,A,"L, 79-65",104.3,100.6,66.5,97.7,48.3,16.5,26.5,22.4,118.7,64.7,22.5,30.8,6.9,60.5,-3
11,11,2/15/23,C,UNC Greensboro,SC,Samford,A,"L, 83-71",104.2,106.1,71.5,99.3,44.7,23.8,43.2,21.2,116.1,55.4,15.4,23.5,50,44.6,1
12,12,3/4/23,CT,UNC Greensboro,SC,Wofford,N,"L, 67-66",104.1,110.1,58.5,112.9,55.9,13.7,25.9,25.5,114.6,48.4,6.8,32.4,16.1,34.5,1
13,13,1/7/23,C,UNC Greensboro,SC,Samford,H,"L, 70-68",102.8,109.1,63.6,106.9,48.1,12.6,25.7,38.9,110.1,65,15.7,3.6,22,33.6,-3
14,14,1/11/23,C,UNC Greensboro,SC,VMI,A,"W, 72-57",102.4,96.8,62.9,114.4,56.4,14.3,35.7,27.3,90.6,44.4,27,35.3,22.2,65.7,8
15,15,1/4/23,C,UNC Greensboro,SC,Chattanooga,H,"W, 73-61",102.3,89.8,67.6,107.9,55.4,13.3,15.6,26.8,90.2,43.9,22.2,28.2,26.3,81.7,6
