#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/10/22,N,UNC Wilmington,CAA,Jacksonville,H,"W, 81-53",127,91.3,62.2,130.3,62,14.5,32.1,37,85.3,46.1,20.9,23.3,15.7,97.8,15
2,2,3/5/23,CT,UNC Wilmington,CAA,Drexel,N,"W, 73-68",121.9,120.2,60.3,121.1,60.8,13.3,23.1,31.4,112.8,54,13.3,30,46,54,-1
3,3,12/6/22,N,UNC Wilmington,CAA,East Carolina,H,"W, 74-61",116.8,101.9,62.7,118,55.8,22.3,44.4,86,97.2,42.4,15.9,41.9,42.4,82.9,7
4,4,1/4/23,C,UNC Wilmington,CAA,Elon,A,"W, 81-66",115.8,104.4,66.8,121.2,50.7,12,42.1,23.9,98.8,55.2,19.5,11.1,39.6,76.7,8
5,5,2/4/23,C,UNC Wilmington,CAA,William & Mary,A,"W, 70-63",113.5,107.5,59.4,117.9,57,15.2,29.2,30,106.1,56.8,25.3,31.8,36.4,65,7
6,6,2/2/23,C,UNC Wilmington,CAA,North Carolina A&T,H,"W, 87-63",111.7,99.9,70.8,122.9,60.2,17,36.7,37.3,89,47.3,22.6,25,26.8,78.2,10
7,7,1/11/23,C,UNC Wilmington,CAA,College of Charlesto,H,"L, 71-69",111.4,111.6,62.8,109.8,50,15.9,35.3,28.6,113,47.5,15.9,34.2,28.8,49.3,-6
8,8,3/6/23,CT,UNC Wilmington,CAA,Hofstra,N,"W, 79-73",110.3,97.5,65.2,107.6,50.9,21.8,37.8,46.6,99.5,49.1,19.1,21.6,36.2,80.5,-1
9,9,12/31/22,C,UNC Wilmington,CAA,Hampton,H,"W, 82-65",109.2,105.6,66.9,122.5,67.4,22.4,28.6,54.3,97.1,48.1,20.9,24.2,36.5,59.7,10
10,10,12/21/22,N,UNC Wilmington,CAA,Campbell,A,"W, 74-66",108.4,105.8,63.9,115.8,66.7,20.3,15.4,33.3,103.3,57,18.8,20,26,56.8,-2
11,11,12/18/22,N,UNC Wilmington,CAA,High Point,H,"W, 85-82",106.9,108.4,76.9,110.5,53.7,22.1,32.4,64.8,106.6,48.4,14.3,30.2,50,46,10
12,12,2/11/23,C,UNC Wilmington,CAA,Northeastern,H,"W, 71-59",104.9,98.7,64.6,109.9,48.9,18.6,27.6,81.8,91.3,51.1,29.4,26.9,38.6,66.9,8
13,13,11/26/22,N,UNC Wilmington,CAA,Vermont,N,"W, 68-66",103.6,97.1,65.6,103.7,44.8,9.1,12.1,64.6,100.6,55.4,25.9,25,47.8,67.8,-3
14,14,11/27/22,N,UNC Wilmington,CAA,North Texas,N,"W, 55-51",103.2,87.6,57.2,96.2,44.6,12.2,16.7,43.5,89.2,46.2,29.7,44.4,15.4,86.9,0
15,15,12/28/22,C,UNC Wilmington,CAA,Monmouth,A,"W, 68-55",102.2,94,64.9,104.8,50,21.6,38.2,20.3,84.7,37.3,20,31.4,27.3,72.2,9
16,16,11/25/22,N,UNC Wilmington,CAA,Missouri St.,N,"W, 68-54",101.8,87.9,65.1,104.5,48.1,18.4,28.1,39.6,83,40,23.1,32.4,75.6,84.3,2
17,17,2/23/23,C,UNC Wilmington,CAA,Stony Brook,H,"W, 76-69",101.7,112,69.2,109.9,50.8,10.1,21.1,27.9,99.8,56.5,27.5,29.6,20.4,24.7,3
