#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/15/22,N,USC Upstate,BSth,Clemson,A,"L, 81-70",114.4,117.8,65,107.7,58.7,18.5,15.4,47.8,124.6,63.6,13.8,25,32.7,41.7,-9
2,2,12/31/22,C,USC Upstate,BSth,Charleston Southern,A,"L, 90-85",112.6,130.3,68.7,123.8,63.2,16,25.9,28.1,131.1,51.6,14.6,45.9,50.8,15.7,-4
3,3,3/3/23,CT,USC Upstate,BSth,Gardner Webb,N,"W, 77-76",110.5,113.6,71.4,107.8,56.5,18.2,16.7,35.2,106.4,52.8,23.8,39.4,53.7,42,-2
4,4,1/25/23,C,USC Upstate,BSth,Gardner Webb,A,"L, 78-66",110.5,129.5,62.8,105.2,62.5,25.5,17.4,34.1,124.3,67.8,17.5,20.8,53.3,14,-7
5,5,2/25/23,C,USC Upstate,BSth,Gardner Webb,H,"W, 75-69",110.1,103.8,70.3,106.6,47.4,12.8,17.1,40.4,98.1,55.4,25.6,29.6,63,66.2,6
6,6,12/3/22,N,USC Upstate,BSth,Western Carolina,A,"W, 79-64",108.8,96.8,69.3,114,56.1,17.3,21.7,59.2,92.3,40.8,21.6,41.9,41.7,79.3,5
7,7,2/11/23,C,USC Upstate,BSth,Winthrop,A,"W, 79-70",107.4,91.9,70.3,112.4,59.8,14.2,28.6,50,99.6,39.5,17.1,30,52.6,85.8,11
8,8,11/18/22,N,USC Upstate,BSth,Coastal Carolina,H,"W, 79-78",107.2,116.9,67.3,117.4,57,10.4,28.9,23.4,115.9,51.8,19.3,43.3,38.6,26.8,3
9,9,2/15/23,C,USC Upstate,BSth,Longwood,H,"W, 72-67",107.2,100,67.8,106.2,52.5,10.3,14.7,25.4,98.8,46.6,16.2,30.8,33.9,69,5
10,10,2/4/23,C,USC Upstate,BSth,UNC Asheville,H,"W, 76-70",106.8,102.8,70.8,107.4,56.5,28.3,41.4,35.2,98.9,51.8,21.2,27.3,32.1,60.7,3
11,11,2/8/23,C,USC Upstate,BSth,Charleston Southern,H,"W, 77-60",104.9,89.5,66.6,115.7,64.3,19.5,24,12.5,90.1,44.2,19.5,25.6,13.3,86.2,13
12,12,2/1/23,C,USC Upstate,BSth,Campbell,A,"L, 78-66",104.4,124.7,61.5,107.3,52.9,16.3,23.3,26.9,126.8,69,16.3,14.3,61.9,11.5,-7
13,13,12/10/22,N,USC Upstate,BSth,South Carolina St.,H,"W, 89-84",101.5,120.9,68.2,116,49.2,13,34.1,57.1,109.5,51.7,26.1,43.8,44.1,11.7,-3
14,14,1/4/23,C,USC Upstate,BSth,Radford,A,"W, 65-60",99.4,94.9,64.6,100.7,58.5,17,10.7,44.7,93,52,26.3,31.2,30,62.8,-2
15,15,3/4/23,CT,USC Upstate,BSth,UNC Asheville,N,"L, 66-62",98.8,102.6,64.6,95.9,46.7,7.7,16.2,13.1,102.1,46.4,12.4,22.9,40,39.2,0
16,16,11/25/22,N,USC Upstate,BSth,South Carolina,A,"L, 68-53",93.5,110.2,59.2,89.5,48.1,21.9,32.3,17.3,114.8,50.8,13.5,41.9,18.6,13,-3
17,17,2/18/23,C,USC Upstate,BSth,High Point,A,"L, 81-66",93.3,123.7,67.6,97.6,50,19.2,34.3,25,119.8,66,22.2,34.6,32.1,3.8,-9
18,18,1/11/23,C,USC Upstate,BSth,Campbell,H,"L, 78-63",93,109.4,68.3,92.3,48.4,13.2,16.7,4.8,114.3,52,17.6,31.2,72,13.3,0
19,19,1/7/23,C,USC Upstate,BSth,High Point,H,"W, 76-57",92.8,80.8,75.6,100.6,57.3,23.8,25.7,17.7,75.4,44.2,27.8,24.3,44.2,83,10
20,20,1/14/23,C,USC Upstate,BSth,Longwood,A,"L, 72-65",92.7,101.1,71.4,91,47.8,23.8,10.3,54.3,100.8,47.8,28,39.4,88.9,27,-5
21,21,11/21/22,N,USC Upstate,BSth,Air Force,A,"L, 83-56",91.2,123.2,64.5,86.9,46.3,14,13.9,27.8,128.7,60.6,18.6,43.3,51.9,3,-14
22,22,12/29/22,C,USC Upstate,BSth,Winthrop,H,"W, 70-62",90.4,85.6,70.5,99.3,56.2,25.5,41.4,66.7,88,33.9,21.3,35,55.4,65,6
23,23,12/13/22,N,USC Upstate,BSth,Florida St.,A,"L, 80-63",89.4,110,70.9,88.8,37.3,19.7,36.6,33.3,112.8,53.4,18.3,38.7,39.7,8.5,-8
24,24,12/20/22,N,USC Upstate,BSth,Kennesaw St.,A,"L, 65-56",87.6,90.3,68.4,81.9,46.2,21.9,22.6,26.4,95.1,49.1,26.3,33.3,30.9,41.4,-2
25,25,1/21/23,C,USC Upstate,BSth,UNC Asheville,A,"L, 64-58",86.1,88.3,71.1,81.5,39.5,26.7,31.7,31.6,90,41.8,21.1,22.9,63.3,42.7,0
26,26,1/18/23,C,USC Upstate,BSth,Presbyterian,H,"W, 61-60",80.8,98.4,70.1,87,54.5,29.9,24.1,59.1,85.5,37.7,20,29.3,40.4,9.4,-3
27,27,1/28/23,C,USC Upstate,BSth,Radford,H,"L, 55-52",78.6,88.3,64.3,80.8,45.9,29.5,32.3,24.5,85.5,43.5,26.4,25,45.7,20.8,-4
28,28,2/22/23,C,USC Upstate,BSth,Presbyterian,A,"W, 59-57",78.5,92.1,70.5,83.7,35.8,17,25,33.3,80.8,43.5,19.9,18.4,33.3,13.7,-6
29,29,11/11/22,N,USC Upstate,BSth,Duke,A,"L, 84-38",66.7,100.4,72.2,52.7,34.3,31.9,17.9,3.7,116.4,49.3,18,50,38.2,0.9,-17
