#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/16/23,C,USC,P12,California,H,"W, 97-60",135.1,98.4,69.5,139.6,69.6,10.1,12.5,41.1,86.4,39.8,21.6,36.6,32.2,97.5,18
2,2,1/26/23,C,USC,P12,UCLA,H,"W, 77-64",134.5,99.4,63.5,121.2,58.8,14.2,20.8,35.3,100.7,42.9,20.5,41.7,35.7,97,-1
3,3,2/23/23,C,USC,P12,Colorado,A,"W, 84-65",134.5,93.4,69.1,121.6,63.8,13,20.7,29.3,94.1,40.9,8.7,22.2,22.7,98.5,9
4,4,1/21/23,C,USC,P12,Arizona St.,A,"W, 77-69",128.8,95,68.3,112.7,55.3,26.3,44.8,24.6,101,42.3,16.1,39.5,29.2,97.1,10
5,5,2/2/23,C,USC,P12,Washington St.,H,"W, 80-70",120.9,102.8,67.3,118.9,60.6,10.4,12,46.2,104,52.5,17.8,31.2,22,86.6,0
6,6,3/2/23,C,USC,P12,Arizona,H,"L, 87-81",119.6,110.6,70.7,114.5,48.4,17,38.5,34.4,123,61.9,14.1,28.1,35.6,71.2,-8
7,7,12/30/22,C,USC,P12,Washington,A,"W, 80-67",119.5,98,69.8,114.7,50,22.9,56.2,34.4,96,39,18.6,42.2,26.5,90.7,3
8,8,2/18/23,C,USC,P12,Stanford,H,"W, 85-75",118.3,97.4,71.4,119.1,60.2,14,20.7,27.1,105.1,52.5,16.8,24.2,24.6,90.3,6
9,9,12/14/22,N,USC,P12,Long Beach St.,H,"W, 88-78",117.9,104,74.8,117.7,57.7,16.1,26.3,29.2,104.3,43.8,17.4,50,27.4,80.9,7
10,10,11/23/22,N,USC,P12,BYU,N,"W, 82-76",117.4,95.7,75.3,108.8,55.2,18.6,28.6,51.7,100.9,52.5,22.6,31.6,37.3,91.3,6
11,11,1/14/23,C,USC,P12,Utah,H,"W, 71-56",117.3,92.2,62.8,113,53.3,15.9,40.6,13.1,89.1,41,15.9,26.3,9.8,94.1,3
12,12,1/1/23,C,USC,P12,Washington St.,A,"L, 81-71",116.6,116.5,65.1,109.1,45.4,16.9,46.2,24.6,124.5,61.8,13.8,26.5,36.4,50.4,-8
13,13,12/18/22,N,USC,P12,Auburn,H,"W, 74-71",114.9,94.9,70.1,105.5,50,17.1,26.7,51.9,101.3,55.3,32.8,47.6,51.1,90.1,2
14,14,11/10/22,N,USC,P12,Alabama St.,H,"W, 96-58",113,91,76.8,125,63.8,22.1,41.2,32.3,75.5,37.1,26,36.2,21.2,92.3,17
15,15,3/4/23,C,USC,P12,Arizona St.,H,"W, 68-65",110.5,92.5,68.3,99.6,46.1,22,38.2,58.8,95.2,33.8,16.1,43.5,43.1,88.6,5
16,16,1/5/23,C,USC,P12,UCLA,A,"L, 60-58",110.4,98,59,98.4,50,17,23.1,11.3,101.8,42.2,13.6,40,29.3,79.8,-9
17,17,2/25/23,C,USC,P12,Utah,A,"W, 62-49",109.8,78.4,61.4,100.9,53,19.5,21.9,28,79.8,35.7,16.3,37,17.5,98,6
18,18,2/4/23,C,USC,P12,Washington,H,"W, 80-74",109.1,101,75.4,106.1,47.7,14.6,28.6,32.3,98.1,49.1,19.9,21.9,45.5,70.6,1
19,19,11/18/22,N,USC,P12,Mount St. Mary's,H,"W, 83-74",109,108,74.6,111.3,52.7,22.8,38.2,57.1,99.2,43.4,14.7,35.7,30.9,52.7,5
