#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/5/23,C,UTSA,CUSA,Middle Tennessee,H,"W, 75-72",120.2,111.6,63.7,117.7,50,12.6,37.5,49.1,113,60.6,22,34.5,30.8,70.1,4
2,2,2/18/23,C,UTSA,CUSA,UAB,H,"L, 83-78",117.6,107.1,71.2,109.6,50,16.9,41.7,38.7,116.6,53.9,8.4,25,35.9,74.4,4
3,3,2/25/23,C,UTSA,CUSA,FIU,A,"W, 95-91",117.4,118,79.3,119.8,53,21.4,48.8,47,114.8,61.6,25.2,28.6,48.2,48.5,-5
4,4,11/22/22,N,UTSA,CUSA,Prairie View A&M,H,"W, 82-75",115.9,116.2,72.3,113.5,64.1,19.4,16,67.4,103.8,43.8,11.1,29.7,42.2,49.1,6
5,5,12/18/22,N,UTSA,CUSA,Bethune Cookman,H,"W, 90-69",112,111.8,70.2,128.1,56,18.5,41.2,48.3,98.2,50,17.1,22.2,21.7,50.4,7
6,6,3/2/23,C,UTSA,CUSA,Charlotte,H,"W, 78-73",110.1,101.4,71.2,109.5,54.7,15.4,22.6,56.6,102.5,56.2,19.7,16.1,23.2,71.9,3
7,7,1/26/23,C,UTSA,CUSA,North Texas,A,"L, 63-59",108.8,101.9,59.4,99.3,51.1,23.6,29.6,37.8,106.1,56.2,26.9,38.5,25,68,-4
8,8,12/10/22,N,UTSA,CUSA,New Mexico,A,"L, 94-76",106.2,113.7,73.9,102.9,47.5,20.3,28.6,37.7,127.2,55.8,10.8,29,88.5,31.3,-12
9,9,2/16/23,C,UTSA,CUSA,Rice,A,"W, 84-79",106.1,100.9,75.9,110.6,58.2,17.1,24.2,31.1,104,47.6,19.7,31.7,39.7,64.2,4
10,10,12/31/22,C,UTSA,CUSA,UAB,A,"L, 90-67",105.7,119.5,68.7,97.6,40.8,18.9,34.1,36.7,131.1,58.2,16,45.7,41,19.6,-12
11,11,2/23/23,C,UTSA,CUSA,Florida Atlantic,A,"L, 106-66",103.7,118.9,76.7,86.1,43.6,23.5,22.2,43.6,138.3,61.1,9.1,34.2,31.9,17.2,-10
12,12,12/13/22,N,UTSA,CUSA,Utah,A,"L, 91-70",103.6,112.5,76.5,91.5,44.2,11.8,9.5,38.3,119,55.8,17,39.4,24.6,27.9,-9
13,13,2/2/23,C,UTSA,CUSA,Western Kentucky,A,"L, 81-74",103.5,105.9,74.2,99.7,38.3,9.4,26.1,50,109.1,47.6,5.4,16.3,47.6,43.4,1
14,14,12/29/22,C,UTSA,CUSA,Louisiana Tech,A,"L, 91-69",102.3,123.7,70.4,97.9,57.4,24.1,17.2,48.9,129.2,60,11.4,37.5,32.3,10.1,-7
15,15,1/21/23,C,UTSA,CUSA,FIU,H,"L, 77-72",101.8,122.2,66.9,107.7,43.3,19.4,50,29.9,115.2,51.5,9,23.7,16.9,10.9,-8
16,16,11/28/22,N,UTSA,CUSA,Incarnate Word,H,"W, 68-62",99.8,108.8,62.8,108.4,52.6,17.5,33.3,17.5,98.8,41.4,12.7,33.3,15.6,26.9,3
17,17,1/11/23,C,UTSA,CUSA,UTEP,A,"L, 69-57",99,106.5,64.2,88.8,53.2,32.7,25.9,19.1,107.5,51.8,21.8,42.4,26.8,30.1,0
18,18,1/16/23,C,UTSA,CUSA,Rice,H,"L, 88-81",98.9,105.5,70.9,101.5,50.7,13.8,22.5,12.2,110.3,53.7,15,31.7,38.2,32.3,8
19,19,11/27/22,N,UTSA,CUSA,Dartmouth,H,"L, 78-77",98,112.4,66.3,103.3,48.5,10.7,17.5,25.8,104.6,50.8,13.4,16.7,27.4,17.1,-3
