#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/1/23,C,Utah Tech,WAC,Seattle,H,"W, 93-56",138.9,88.7,68.4,136,70.6,16.1,27.3,49,81.9,34.6,21.9,26.3,48.1,99.4,20
2,2,1/18/23,C,Utah Tech,WAC,Grand Canyon,A,"L, 89-85",125.3,124.4,66.6,127.7,56.1,13.5,39.4,52.6,133.7,68.6,16.5,26.9,45.1,52,-4
3,3,12/3/22,N,Utah Tech,WAC,Weber St.,A,"W, 77-65",125.3,99.9,65.8,117.1,58,16.7,22.2,44,98.8,54.3,19.8,4,37,93.1,11
4,4,12/1/22,N,Utah Tech,WAC,Utah St.,A,"L, 86-81",123.9,105.8,71,114.1,59.6,21.1,21.9,46.2,121.1,66.4,16.9,14.8,29.1,85.9,-1
5,5,2/23/23,C,Utah Tech,WAC,UT Rio Grande Valley,A,"W, 88-81",122.9,112.5,70.5,124.8,60.8,19.8,40,70.6,114.8,54.8,14.2,28.9,33.9,73.3,9
6,6,2/4/23,C,Utah Tech,WAC,Southern Utah,H,"W, 86-79",120.8,101,72.7,118.4,60.9,17.9,23.3,43.6,108.7,51.7,22,32.4,39.7,88.6,11
7,7,11/14/22,N,Utah Tech,WAC,Washington,A,"L, 78-67",117,115.6,64.1,104.5,46.1,12.5,41.7,21.9,121.7,67.3,17.2,14.8,36.7,53.5,0
8,8,12/22/22,N,Utah Tech,WAC,Lindenwood,H,"W, 95-64",116.1,93.7,75.3,126.2,63.5,18.6,37.5,31.7,85,43.2,22.6,21.4,32.2,92.2,19
9,9,11/19/22,N,Utah Tech,WAC,Idaho,A,"W, 81-71",115.6,107.3,66.4,121.9,59,21.1,37.9,58,106.8,57.7,18.1,19.2,28.8,70.2,8
10,10,1/21/23,C,Utah Tech,WAC,New Mexico St.,H,"W, 89-76",111.7,96.7,78.5,113.4,63,22.9,18.8,72,96.8,50.8,17.8,20,37.7,84,12
