#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/3/23,C,Utah Valley,WAC,Stephen F. Austin,H,"W, 113-69",136.5,85.8,83,136.1,69.5,15.7,27.6,53.1,83.1,44.4,21.7,25,36.5,99.5,24
2,2,12/29/22,C,Utah Valley,WAC,Sam Houston St.,H,"W, 80-64",123.1,89.7,71.6,111.7,60.2,22.3,34.4,25.4,89.4,38.1,16.8,31.9,25.4,97.4,10
3,3,3/10/23,CT,Utah Valley,WAC,Southern Utah,N,"L, 89-88",117.4,108.4,76.6,114.9,63.4,20.9,28.6,44.6,116.2,50.7,14.4,37.5,44.8,71.5,7
4,4,2/11/23,C,Utah Valley,WAC,Southern Utah,H,"W, 90-83",115.2,101.6,77.9,115.5,47.5,19.3,38.5,69.5,106.5,45.7,12.8,32.6,37.1,80.8,6
5,5,12/7/22,N,Utah Valley,WAC,BYU,A,"W, 75-60",114.9,91.2,66.7,112.5,64.1,25.5,28.6,52.2,90,39.3,19.5,32.5,41.1,93.4,0
6,6,1/14/23,C,Utah Valley,WAC,Seattle,H,"L, 85-80",114.4,119.8,73.7,108.5,56.6,16.3,29.4,32.8,115.3,50.8,14.9,28.2,32.3,37.1,0
7,7,2/8/23,C,Utah Valley,WAC,Cal Baptist,H,"W, 71-55",113.9,89.4,63.1,112.5,49.2,7.9,29.7,24.6,87.2,45.2,20.6,27.3,32.7,94.2,10
8,8,1/21/23,C,Utah Valley,WAC,Grand Canyon,A,"W, 76-74",113.5,104.8,65.7,115.6,47.7,12.2,42.1,31.2,112.6,46.9,19.8,51.2,32.8,71.5,-1
9,9,12/20/22,N,Utah Valley,WAC,Oregon,A,"W, 77-72",113.5,85.5,73.9,104.2,48.4,12.2,20.5,34.4,97.5,37.5,17.6,44,41.2,96.3,7
10,10,11/26/22,N,Utah Valley,WAC,Boise St.,A,"L, 87-69",113.2,118.6,68.6,100.7,48.2,14.6,23.5,35.7,126.9,57.7,10.2,31.2,24.6,36.8,-11
11,11,12/3/22,N,Utah Valley,WAC,Long Beach St.,H,"W, 88-78",112.8,102.8,77,114.3,57,18.2,32.4,32.8,101.3,45.1,19.5,39.1,26.4,74.4,5
12,12,1/11/23,C,Utah Valley,WAC,Cal Baptist,A,"W, 71-67",108.9,104.4,65.9,107.7,50.9,16.7,27.3,26.3,101.6,51.7,15.2,22.9,16.9,61.8,-3
13,13,11/12/22,N,Utah Valley,WAC,Northern Arizona,H,"W, 73-69",108,101.2,65.1,112.1,57.7,16.9,24.2,38.5,106,45.5,15.4,38.1,14.9,67.8,8
14,14,3/9/23,CT,Utah Valley,WAC,Tarleton St.,N,"W, 72-58",106.7,86.8,68.8,104.7,61.5,29.1,33.3,41.7,84.3,37.5,18.9,25.6,33.9,91.5,5
15,15,3/1/23,C,Utah Valley,WAC,UT Arlington,H,"W, 78-59",106.3,94.9,69.5,112.3,57.1,24.5,37.9,28.6,84.9,42.3,15.8,23.8,10.8,78.7,5
16,16,1/5/23,C,Utah Valley,WAC,UT Arlington,A,"W, 72-64",105.1,94.2,69.7,103.3,50.9,20.1,25.8,47.2,91.8,41.8,15.8,36,26.9,77.8,6
17,17,1/18/23,C,Utah Valley,WAC,Abilene Christian,H,"W, 84-54",104.3,76.7,74.9,112.2,58.9,22.7,33.3,24.2,72.1,32.9,12,21.2,20,97.2,12
18,18,11/20/22,N,Utah Valley,WAC,Green Bay,N,"W, 79-56",101.3,96.3,69.1,114.3,57.4,15.9,25,38.9,81,44.7,20.3,15.4,19.3,64.2,9
19,19,1/28/23,C,Utah Valley,WAC,New Mexico St.,H,"W, 77-72",99.7,96.2,75.6,101.9,54.2,17.2,19.4,31.7,95.3,48.5,14.6,18.6,26.2,60,5
20,20,1/7/23,C,Utah Valley,WAC,UT Rio Grande Valley,A,"W, 75-61",99.3,87.4,71.6,104.8,51.8,22.4,29,32.1,85.3,37.1,18.2,33.3,27.3,81.4,6
21,21,2/2/23,C,Utah Valley,WAC,Utah Tech,A,"W, 76-69",99.3,87.1,76.4,99.4,49.1,28.8,42.4,46.4,90.3,46.7,18.3,15.4,30,81.9,3
22,22,12/10/22,N,Utah Valley,WAC,Northern Arizona,A,"W, 80-75",98.9,92.1,69.3,102.6,50,23.1,26.5,57.1,96.2,49.3,11.5,17.5,17.6,69.4,4
23,23,1/26/23,C,Utah Valley,WAC,Southern Utah,A,"L, 79-67",95.6,95.5,74.5,89.9,50.8,21.5,23.7,21.3,106,47,16.1,39,37.3,50.3,0
24,24,11/18/22,N,Utah Valley,WAC,Morgan St.,N,"L, 73-72",94.7,110.8,66.1,96.8,37.9,26.9,43.6,60.3,98.2,51.6,17.5,29.7,27.9,14.2,-2
25,25,12/31/22,C,Utah Valley,WAC,Utah Tech,H,"W, 71-60",92.8,78.7,74.9,94.7,53.6,22.7,18.2,28.6,80.1,38.7,26.7,28.2,52.8,86.8,7
26,26,11/15/22,N,Utah Valley,WAC,Wake Forest,A,"L, 68-65",92,82.9,66.1,87.4,36,14.8,36,16,91.5,38.5,14.8,23.9,32.3,77,2
27,27,2/25/23,C,Utah Valley,WAC,Abilene Christian,A,"W, 66-62",91.6,89.3,69.8,94.6,53.7,21.5,17.2,18.5,88.9,45.9,22.9,25.6,13.1,57.1,-2
28,28,2/18/23,C,Utah Valley,WAC,Seattle,A,"W, 67-58",91,81.8,75.8,88.4,40.2,14.5,30.8,28.8,76.6,34.1,17.2,26.2,30.3,77.3,1
29,29,11/7/22,N,Utah Valley,WAC,Utah St.,A,"L, 75-58",89.2,89.6,72.1,80.5,35.2,12.5,15.9,32.8,104.1,51.6,13.9,27,25,48.8,-6
30,30,2/23/23,C,Utah Valley,WAC,Tarleton St.,A,"L, 77-58",85.3,105.9,71.9,80.7,36.4,26.4,22.9,70.5,107.1,35.8,11.1,28.6,63.3,7.7,-11
