#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/8/22,N,Utah,P12,Jacksonville St.,H,"W, 99-58",138.3,93.1,67.7,146.2,67.6,14.8,45.2,13.2,85.6,44.7,22.1,28.2,22.8,99,20
2,2,11/26/22,N,Utah,P12,St. Thomas,H,"W, 95-66",132.6,102.4,66.6,142.7,67.2,10.5,32.3,31.1,99.2,48.2,19.5,29.7,30.4,95.1,12
3,3,1/21/23,C,Utah,P12,Washington,H,"W, 86-61",132.2,95,66.7,128.9,56.6,16.5,54.3,20.6,91.4,40.9,16.5,32.6,12.1,97.8,12
4,4,1/19/23,C,Utah,P12,Washington St.,H,"W, 77-63",130.2,97.7,61.9,124.5,63.4,12.9,27.6,21.4,101.8,39.3,11.3,35.7,31.1,96.5,7
5,5,2/11/23,C,Utah,P12,Colorado,H,"W, 73-62",123.2,93.2,65.6,111.3,54.5,19.8,35.5,34.5,94.5,40.3,9.1,23.1,21,96.1,9
6,6,2/23/23,C,Utah,P12,UCLA,H,"L, 78-71",118.7,109.1,68.1,104.3,48.3,17.6,30.6,30,114.5,57.1,8.8,25.7,22.2,72.5,-8
7,7,1/5/23,C,Utah,P12,Oregon St.,H,"W, 79-60",118.4,100.2,65.9,119.8,53.5,12.1,29,35.1,91,46.7,18.2,22.2,8.3,87.2,8
8,8,12/31/22,C,Utah,P12,Stanford,A,"W, 71-66",114,88.2,65.4,108.6,65,24.5,5.3,57.5,101,49.2,9.2,22.5,12.5,95,8
9,9,2/2/23,C,Utah,P12,Stanford,H,"L, 78-72",113.5,117,62.3,115.5,48.4,12.8,37.2,21.9,125.2,63.3,19.3,34.6,42.9,41.3,-6
10,10,12/1/22,C,Utah,P12,Arizona,H,"W, 81-66",113.4,75.2,76.8,105.5,50,18.2,38.6,26.8,86,38,15.6,30.6,25.4,99.1,10
11,11,11/11/22,N,Utah,P12,Cal St. Bakersfield,H,"W, 72-44",111.7,79.4,62.9,114.5,56.7,15.9,29,38.5,70,33.3,19.1,26.8,19.3,98.1,16
12,12,1/26/23,C,Utah,P12,Oregon St.,A,"W, 63-44",110.9,75.5,59.7,105.6,48.1,20.1,36.4,28.3,73.7,36,20.1,22.9,22,98.8,14
13,13,12/13/22,N,Utah,P12,UTSA,H,"W, 91-70",109.1,97.4,76.5,119,55.8,17,39.4,24.6,91.5,44.2,11.8,9.5,38.3,78.7,9
14,14,12/21/22,N,Utah,P12,TCU,N,"L, 75-71",108.6,98.7,71.5,99.3,53.7,26.6,39.3,38.9,104.9,47,14,39.5,28.4,74.9,-4
15,15,11/21/22,N,Utah,P12,Georgia Tech,N,"W, 68-64",107.3,94.3,66.2,102.7,51,28.7,45.2,40.4,96.6,38.4,7.5,36.7,29,81.7,7
16,16,2/18/23,C,Utah,P12,Arizona St.,A,"L, 67-59",103.4,95.1,66,89.4,43.3,25.8,41,18.3,101.5,46.8,7.6,19.4,15.9,72.1,0
17,17,1/14/23,C,Utah,P12,USC,A,"L, 71-56",100.9,99.7,62.8,89.1,41,15.9,26.3,9.8,113,53.3,15.9,40.6,13.1,53.3,-3
18,18,2/5/23,C,Utah,P12,California,H,"W, 61-46",98.6,87.2,59.8,102,45.6,11.7,25,17.5,77,37.5,16.7,25.6,14.3,80.4,6
19,19,11/7/22,N,Utah,P12,LIU Brooklyn,H,"W, 89-48",98.3,86.5,75,118.6,46.5,9.3,37.8,37.5,64,34.7,22.7,14.3,18.6,81.4,14
20,20,11/14/22,N,Utah,P12,Idaho St.,H,"W, 70-58",98.2,90.6,67.4,103.9,50,19.3,32.3,41.5,86.1,41.3,13.4,19,14.3,71.6,6
21,21,2/16/23,C,Utah,P12,Arizona,A,"L, 88-62",97.6,103.1,71.7,86.5,41.5,16.7,19,27.1,122.8,63.8,8.4,10.3,15.4,34.7,-12
22,22,1/28/23,C,Utah,P12,Oregon,A,"L, 68-56",97.4,101.7,60.7,92.3,35.1,9.9,30.2,33.3,112.1,53.4,18.1,36.7,15.5,37.8,-8
23,23,1/12/23,C,Utah,P12,UCLA,A,"L, 68-49",97.1,97.7,62,79,42.9,25.8,23.5,22.4,109.7,54.2,19.4,43.8,13.3,48,-9
24,24,3/4/23,C,Utah,P12,Colorado,A,"L, 69-60",96,98.4,69.2,86.7,40.5,13,19.5,19,99.7,53.7,20.2,19.4,25.9,43,-7
25,25,12/4/22,C,Utah,P12,Washington St.,A,"W, 67-65",95.8,79.6,67.2,88.6,48.2,25.1,27,41.8,85.9,35.3,15.9,32,38.2,89.3,1
26,26,12/29/22,C,Utah,P12,California,A,"W, 58-43",95.6,78.6,60.3,96.2,42.5,13.3,23.5,28.3,71.3,36.4,21.6,17.1,45.5,90.5,6
27,27,11/17/22,N,Utah,P12,Sam Houston St.,H,"L, 65-55",93.6,99.7,65.1,84.5,51.1,24.6,15.6,34.8,99.8,42.7,16.9,35,22.6,32.5,-5
28,28,12/17/22,N,Utah,P12,BYU,A,"L, 75-66",93.5,91.7,76.9,85.8,44.1,18.2,17.9,35.6,97.5,46.8,16.9,22,36.5,55.3,-4
29,29,3/8/23,CT,Utah,P12,Stanford,N,"L, 73-62",91.7,99.5,67.5,91.9,44,17.8,28.2,29.3,108.2,46,5.9,25.6,40.3,28.1,-8
30,30,11/23/22,N,Utah,P12,Mississippi St.,N,"L, 52-49",90.1,85.1,61.6,79.6,36.5,22.7,33.3,34.6,84.4,32.1,9.7,34.5,23.9,65.8,-2
31,31,1/7/23,C,Utah,P12,Oregon,H,"L, 70-60",89.9,95.6,68.4,87.8,38.4,20.5,31.7,44.6,102.4,46.5,17.6,33.3,43.9,32.9,-7
32,32,2/25/23,C,Utah,P12,USC,H,"L, 62-49",85.8,93.3,61.4,79.8,35.7,16.3,37,17.5,100.9,53,19.5,21.9,28,27.4,-6
