#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/3/22,N,VMI,SC,Navy,H,"W, 80-72",125.4,114.5,64.5,124,59.3,10.9,25,23.7,111.6,54.9,17.1,31.2,8.2,73.9,7
2,2,1/4/23,C,VMI,SC,Samford,A,"L, 87-78",118.1,123.8,66.6,117.2,57.9,18,29,26.3,130.7,65.5,21,42.9,34.5,36.8,-4
3,3,2/2/23,C,VMI,SC,The Citadel,A,"W, 75-69",112.6,123.4,61.2,122.5,50.8,3.3,31.6,16.9,112.7,52.6,6.5,14.7,19,25.9,-1
4,4,1/7/23,C,VMI,SC,Chattanooga,A,"L, 85-78",109.5,125,67.4,115.7,63.8,25.2,33.3,10.3,126.1,61.8,14.8,31,41.8,17.9,-11
5,5,12/10/22,N,VMI,SC,Radford,H,"W, 77-74",108.4,113,68.4,112.5,69.1,23.4,17.4,36.2,108.1,58.3,17.5,18.8,13.3,38.3,-5
6,6,2/25/23,C,VMI,SC,Western Carolina,A,"L, 85-66",107.5,128.6,63.9,103.3,42.8,7.8,32.6,11.6,133,61.8,12.5,28.6,34.5,11.2,-3
7,7,11/20/22,N,VMI,SC,Fairleigh Dickinson,N,"L, 93-89",105.3,129,72.8,122.3,55.6,20.6,47.5,16.9,127.8,54.5,8.2,28.9,37.9,8.9,-7
8,8,2/22/23,C,VMI,SC,Wofford,H,"W, 87-83",105.2,109.9,66.1,117,55.1,16.1,32.3,45.8,111.6,59.8,21.5,26.7,41.1,37.8,1
9,9,11/13/22,N,VMI,SC,Davidson,A,"L, 75-71",103,108.9,68.1,104.3,53.8,16.2,17.9,35.8,110.2,52.5,11.8,19.4,28.8,34.4,-7
10,10,1/14/23,C,VMI,SC,Wofford,A,"L, 86-67",103,123.5,63.6,105.3,51.8,22,40,19.6,135.2,62.7,12.6,33.3,34.5,11,-4
11,11,2/10/23,C,VMI,SC,East Tennessee St.,A,"L, 69-65",102,111.1,63.4,102.5,44.4,17.3,35.9,16.1,108.8,52.8,22.1,41.4,27.8,27.3,-2
12,12,12/22/22,N,VMI,SC,Fordham,A,"L, 80-77",98.9,97.3,73.4,93.2,54.7,23,14.3,15.6,96.9,42.8,18.2,26.7,31.9,54.6,-1
13,13,12/13/22,N,VMI,SC,American,A,"L, 69-61",98.8,121.9,58.7,104,48.1,15.3,31.2,22.2,117.6,63.8,17.1,21.4,34,8.2,-6
14,14,1/19/23,C,VMI,SC,Mercer,H,"L, 69-61",97,110.7,65.1,93.7,45.5,27.6,42.4,23.6,106,43.8,10.7,33.3,26.6,18,-1
15,15,1/11/23,C,VMI,SC,UNC Greensboro,H,"L, 72-57",96.6,116.3,62.9,90.6,44.4,27,35.3,22.2,114.4,56.4,14.3,35.7,27.3,10.6,-8
16,16,3/3/23,CT,VMI,SC,Chattanooga,N,"L, 92-72",94.9,125.7,72.2,99.8,43.1,4.2,20,23.6,127.5,70,12.5,12.5,18.3,3.8,-15
17,17,2/18/23,C,VMI,SC,Samford,H,"L, 96-61",94.3,128.9,68.7,88.8,45.5,20.4,17.6,23.6,139.7,74.6,11.6,18.5,14.8,2.7,-9
18,18,2/8/23,C,VMI,SC,Furman,H,"L, 94-63",93.2,127.6,67.7,93,40.2,20.7,37.5,26.2,138.8,66.4,16.2,41.9,9,2.6,-16
19,19,12/29/22,C,VMI,SC,Furman,A,"L, 85-62",92.6,104.8,70.9,87.4,41.8,14.1,15.8,18,119.9,59.4,14.1,26.3,25,19.4,-7
20,20,11/19/22,N,VMI,SC,SIU Edwardsville,N,"L, 93-67",91.2,128.2,74.7,89.8,51.8,32.2,32.4,17.5,124.6,62.7,13.4,21.9,28.6,2,-11
21,21,1/28/23,C,VMI,SC,Western Carolina,H,"L, 71-65",90.9,105.3,69.3,93.8,49.2,21.6,25,15.3,102.4,48.2,10.1,21.1,45.6,15.6,-2
22,22,2/4/23,C,VMI,SC,Mercer,A,"L, 80-54",89.8,122.9,65.5,82.4,49,29,20.7,12,122.1,54.5,3.1,24.4,19.4,2.6,-9
23,23,11/18/22,N,VMI,SC,Longwood,A,"L, 90-58",89.4,129.3,68.2,85,45.4,29.3,31.2,18.5,131.9,64.8,14.7,35.5,15.6,1.4,-16
24,24,1/25/23,C,VMI,SC,UNC Greensboro,A,"L, 62-50",82.3,94.6,65.6,76.2,37.5,29,40.5,26.8,94.5,48.1,16.8,20,31.5,16.8,-8
25,25,1/21/23,C,VMI,SC,The Citadel,H,"L, 60-52",80.7,99.5,62.7,83,40.2,17.6,27.5,19.6,95.8,46.7,22.3,14.8,37,8.2,3
26,26,11/29/22,N,VMI,SC,Presbyterian,A,"L, 72-57",78.6,117.2,68.8,82.8,40.8,17.4,24.4,21.7,104.6,50,21.8,37.8,37.9,1,-12
27,27,11/7/22,N,VMI,SC,Richmond,A,"L, 69-48",78.5,100.1,66.7,72,30.5,18,30,21.9,103.4,52,15,27.3,56.9,5.8,-7
28,28,2/15/23,C,VMI,SC,Chattanooga,H,"L, 78-58",77.1,123.4,66,87.8,41.9,15.1,23.3,14.5,118.1,56.9,9.1,25,12.3,0.4,-23
29,29,12/31/22,C,VMI,SC,East Tennessee St.,H,"L, 64-50",76.6,104.4,63.9,78.3,38.3,15.7,22,13.3,100.2,50,15.7,31.4,38.9,2.8,-7
