#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Valparaiso,MVC,Illinois St.,H,"W, 81-76",118.4,122.9,65.1,124.5,60.8,20,44,47.1,116.8,54,13.8,32.4,19.4,39.3,5
2,2,1/28/23,C,Valparaiso,MVC,Evansville,H,"W, 81-69",108.7,105.9,72.8,111.2,55.3,17.8,20.7,36.8,94.7,50.8,15.1,13.5,20,57.7,13
3,3,2/4/23,C,Valparaiso,MVC,Drake,H,"L, 85-82",108.1,96.7,66.1,99.3,47.7,13.3,13.2,33.8,103,46.2,17,25,50.8,78.3,4
4,4,1/7/23,C,Valparaiso,MVC,Bradley,A,"L, 88-66",107.9,135.3,64.3,102.6,52.2,23.3,30,56.5,136.8,68.3,14,34.6,15,6.9,-18
5,5,11/27/22,N,Valparaiso,MVC,James Madison,N,"W, 81-79",107.2,101.1,69.4,103.8,55.3,24.3,34.3,19.7,101.2,45.4,15.4,23.7,77.8,66.3,-1
6,6,1/14/23,C,Valparaiso,MVC,Evansville,A,"W, 76-69",107.1,108.8,70.3,108.1,54.5,17.1,21.2,40,98.2,54.3,17.1,17.6,76.6,45.3,7
7,7,2/19/23,C,Valparaiso,MVC,Illinois Chicago,A,"L, 74-73",107,116.5,66.9,109.1,52.4,16.4,33.3,17.7,110.6,51.7,12,25,30.5,27.3,-1
8,8,1/17/23,C,Valparaiso,MVC,Illinois Chicago,H,"W, 76-66",104.3,105.7,68.6,110.8,52,11.7,7.1,52.9,96.2,46.2,16,20.6,46.2,46.4,3
9,9,12/29/22,C,Valparaiso,MVC,Drake,A,"L, 68-63",104,93.8,67,94,43.2,13.4,22.2,27.1,101.5,45.5,14.9,29.4,39.3,76.6,-2
10,10,1/21/23,C,Valparaiso,MVC,Illinois St.,A,"W, 71-51",102.8,88.3,63.7,111.5,67,18.8,13.6,29.8,80.1,38.4,23.5,28.2,17.9,85.2,5
11,11,2/22/23,C,Valparaiso,MVC,Bradley,H,"L, 76-66",102.7,112.4,67.4,97.9,53.8,17.8,10.7,25,112.7,52.3,11.9,32.4,18.2,26.2,-7
12,12,2/1/23,C,Valparaiso,MVC,Missouri St.,A,"L, 76-67",102.5,103.8,62.3,95.6,46.2,18.6,33.3,16.9,108.5,53.5,17.1,29.4,40.4,46.3,0
13,13,12/21/22,N,Valparaiso,MVC,Stonehill,H,"W, 77-67",99.9,94,76.5,100.6,58.6,23.5,21.2,29.3,87.6,45.5,22.2,17.6,38.2,66.8,13
14,14,11/16/22,N,Valparaiso,MVC,Chicago St.,A,"L, 87-74",99,134.7,67.4,109.8,50,11.9,28.1,30,129,65.2,19.3,25,60.9,2.8,-14
15,15,2/8/23,C,Valparaiso,MVC,Indiana St.,A,"L, 84-62",98.3,113.6,67.7,91.6,50,14.8,6.9,24.5,124.1,62.1,8.9,16.7,17.7,16,-10
16,16,2/14/23,C,Valparaiso,MVC,Southern Illinois,H,"L, 66-62",97.1,107.9,65.7,94.4,44,18.3,26.7,46,100.5,50,19.8,25,44,22.8,-5
17,17,11/13/22,N,Valparaiso,MVC,Western Michigan,H,"W, 81-65",96.4,94.2,73.4,110.4,54.8,10.9,19.4,33.9,88.6,39.5,16.3,30.2,43.5,56.6,7
18,18,12/1/22,C,Valparaiso,MVC,Belmont,A,"L, 76-64",95.6,105.4,66.9,95.6,42.2,9,22,23.4,113.5,55.8,14.9,27.3,16.7,24.6,-7
19,19,11/19/22,N,Valparaiso,MVC,Incarnate Word,H,"W, 68-64",95.4,107.4,65.6,103.6,46.2,15.2,21.9,44.2,97.5,50.8,18.3,25.7,11.9,20.4,2
20,20,12/18/22,N,Valparaiso,MVC,Elon,H,"W, 71-66",95.2,95.7,71.9,98.7,61.2,25,14.8,34.7,91.8,39.6,7,20.5,13.9,48.6,8
21,21,2/26/23,C,Valparaiso,MVC,Murray St.,A,"L, 77-76",94.8,95.5,69.5,97.2,51.4,16.6,18.9,8.6,98.5,50.8,17.9,20.6,32.8,48,2
22,22,12/4/22,C,Valparaiso,MVC,Murray St.,H,"L, 77-70",94.6,103.8,64.1,97.1,45.6,18,35.7,16.2,106.8,52.5,18,28.6,35,25.7,2
23,23,1/25/23,C,Valparaiso,MVC,Northern Iowa,A,"L, 77-66",93.7,111.7,69.5,95,43.9,14.4,27.9,18.2,110.8,56.2,15.8,10.3,58.3,11.7,-8
24,24,1/4/23,C,Valparaiso,MVC,Northern Iowa,H,"L, 69-67",92.4,104.8,69,97.2,51.8,14.5,11.8,25,100.1,51.6,18.9,28.6,14.5,19,-4
25,25,12/10/22,N,Valparaiso,MVC,Mississippi,A,"L, 98-61",86.3,122.5,76.1,80.2,43,27.6,23.7,28.1,128.8,58.9,6.6,27.8,21.9,1.7,-19
26,26,11/7/22,N,Valparaiso,MVC,Toledo,A,"L, 85-70",85,102.8,74.7,93.7,53.2,21.4,15.2,9.7,113.8,51.4,10.7,30.8,22.9,10,-19
27,27,1/10/23,C,Valparaiso,MVC,Belmont,H,"L, 74-59",82.9,101.6,69.4,85,46.2,23.1,22.6,34.6,106.6,58.8,18.7,17.2,15.8,8.8,-9
28,28,11/25/22,N,Valparaiso,MVC,South Dakota St.,N,"L, 61-50",80.1,91.8,64.6,77.4,41.7,20.1,21.6,0,94.5,47.1,21.7,25,29.4,17.2,-2
29,29,1/1/23,C,Valparaiso,MVC,Indiana St.,H,"L, 68-50",76.2,97.3,66.9,74.7,32,12,18.2,24.6,101.6,55.6,16.4,14.3,18.5,5.7,-11
30,30,11/23/22,N,Valparaiso,MVC,Samford,A,"L, 79-49",69.2,111.2,68.9,71.1,34.5,24.7,28.6,30.9,114.7,52.9,18.9,27.3,60.8,0.4,-21
31,31,3/2/23,CT,Valparaiso,MVC,Murray St.,N,"L, 78-50",68.2,102.5,73.1,68.4,34.5,26,18.9,29.1,106.7,50,8.2,23.1,20.6,0.9,-12
