#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/25/23,C,Villanova,BE,Creighton,H,"W, 79-67",141.3,96.9,62.5,126.4,58.3,4.8,19.2,37,107.2,43.2,9.6,28.9,33.9,98.7,11
2,2,2/28/23,C,Villanova,BE,Seton Hall,A,"W, 76-72",131.4,110.7,64.2,118.3,65.9,21.8,10,56.1,112.1,52.7,20.2,36.4,32.7,87.8,0
3,3,11/7/22,N,Villanova,BE,La Salle,H,"W, 81-68",128.5,108,62.4,129.9,68.3,14.4,20.8,21.2,109,49.1,14.4,28.6,36.4,88.1,13
4,4,12/3/22,N,Villanova,BE,Oklahoma,H,"W, 70-66",128.5,115.3,56.7,123.6,64.8,12.4,9.5,36.4,116.5,58,22.9,41.4,24,77.6,-3
5,5,3/8/23,CT,Villanova,BE,Georgetown,N,"W, 80-48",121.8,80.7,62.8,127.4,59.2,12.7,30.3,18.3,76.5,36.6,11.2,10.8,12.5,99.1,15
6,6,1/13/23,C,Villanova,BE,Butler,A,"L, 79-71",120.9,123.7,64.7,109.7,59.4,23.2,30.8,41.7,122,66.3,17,9.5,45.7,43.4,-2
7,7,2/8/23,C,Villanova,BE,DePaul,H,"W, 81-65",119.4,107.7,63.5,127.6,60.8,9.5,26.7,18.3,102.4,50,11,15.6,17.5,76.5,1
8,8,11/18/22,N,Villanova,BE,Michigan St.,A,"L, 73-71",118.6,108.8,63.4,111.9,52.8,9.5,13.8,35.8,115.1,63.9,18.9,21.4,11.1,73,-7
9,9,12/10/22,N,Villanova,BE,Boston College,N,"W, 77-56",116.3,89.3,65.9,116.9,56.5,10.6,18.8,37,85,46.4,21.2,18.4,16.1,95.4,9
10,10,3/9/23,CT,Villanova,BE,Creighton,N,"L, 87-74",115.8,114.6,70.1,105.6,52.4,10,13.5,19.4,124.2,60.7,11.4,13.8,39.3,52.9,-10
11,11,11/24/22,N,Villanova,BE,Iowa St.,N,"L, 81-79",115.3,101.7,68.4,102.6,51.8,23.4,28.6,43.9,105.2,51.5,20.8,31.6,22.7,80.9,-4
12,12,11/27/22,N,Villanova,BE,Oregon,N,"L, 74-67",114.5,110.9,61.1,109.6,49.1,11.5,27.8,24.6,121.1,53.4,18,44.4,27.1,59,-5
13,13,12/31/22,C,Villanova,BE,Marquette,H,"L, 68-66",114,95.9,62.3,105.9,52.6,20.9,34.4,12.3,109.1,56.1,12.8,18.2,12.3,88,2
14,14,12/7/22,N,Villanova,BE,Penn,H,"W, 70-59",113.4,96.2,59.8,117,52,10,19.4,42,98.6,49,23.4,32.1,24.5,86.9,5
15,15,1/7/23,C,Villanova,BE,Xavier,H,"L, 88-80",111.7,104.1,74.7,107.2,49.3,10.7,23.8,9.5,117.9,62.3,18.8,24.1,36.8,69.2,-4
16,16,2/18/23,C,Villanova,BE,Providence,A,"L, 85-72",111.6,111.8,67.4,106.9,46.7,10.4,21.6,30,126.2,63.5,16.3,25,66.7,49.7,-7
17,17,1/16/23,C,Villanova,BE,Georgetown,H,"W, 77-73",110.6,111.8,67.2,114.6,57.4,10.4,3.6,66,108.7,58.7,19.4,23.1,30.8,47,2
18,18,2/1/23,C,Villanova,BE,Marquette,A,"L, 73-64",109.5,91.6,66.5,96.2,60.2,28.6,8.7,29.5,109.7,51.9,10.5,15.2,48.1,88.6,1
19,19,2/4/23,C,Villanova,BE,Creighton,A,"L, 66-61",108.7,94,63.2,96.5,45.9,19,22.6,40.8,104.4,44.3,15.8,30.6,43.4,84.1,-3
20,20,1/29/23,C,Villanova,BE,Providence,H,"L, 70-65",108.1,100.6,62.2,104.5,48.2,12.9,27.3,25,112.5,55.4,14.5,22.2,14.3,69.5,1
21,21,12/28/22,C,Villanova,BE,Connecticut,A,"L, 74-66",107.4,90.9,69.7,94.7,48,25.8,25,35.3,106.2,48.1,15.8,24.2,50.9,87.3,-4
22,22,12/17/22,N,Villanova,BE,Saint Joseph's,A,"W, 71-64",106.7,96.7,66.5,106.8,53.4,19.6,29.4,17.2,96.3,46,10.5,17.5,17.7,75.6,2
23,23,12/21/22,C,Villanova,BE,St. John's,H,"W, 78-63",105.3,86.2,75,104.1,52.5,14.7,12.5,28.8,84,40,16,29.2,8,90.9,3
24,24,2/21/23,C,Villanova,BE,Xavier,A,"W, 64-63",105.3,87.5,63.5,100.8,50,11,12.9,16.1,99.2,52.9,22.1,24.1,23.5,89.4,-4
25,25,2/14/23,C,Villanova,BE,Butler,H,"W, 62-50",104.9,91.7,60.2,103,42.6,11.6,27,35.2,83.1,42.5,18.3,21.2,13.2,82.5,2
26,26,1/4/23,C,Villanova,BE,Georgetown,A,"W, 73-57",104.3,90.2,66.6,109.7,50.9,15,19.4,33.3,85.6,39,16.5,28.2,27.1,84.2,3
27,27,2/11/23,C,Villanova,BE,Seton Hall,H,"W, 58-54",103,84,63,92.1,49,20.6,21.9,32.7,85.8,46.2,28.6,32.4,13.2,91.3,5
28,28,1/10/23,C,Villanova,BE,DePaul,A,"L, 75-65",102.3,107.7,65.8,98.8,47.3,21.3,31.4,26.8,114,53.6,13.7,25,36.4,35.8,-2
29,29,11/11/22,N,Villanova,BE,Temple,A,"L, 68-64",101.4,101,65.3,98,50,19.9,22.2,32,104.2,42.5,10.7,28.9,35,51,-4
30,30,3/4/23,C,Villanova,BE,Connecticut,H,"L, 71-59",99.7,96.2,65.1,90.6,42.7,18.4,26.3,32.7,109.1,51.8,18.4,32.3,25,60.2,-7
31,31,11/25/22,N,Villanova,BE,Portland,N,"L, 83-71",99.4,114.1,68.9,103,39.9,11.6,35.3,30.4,120.4,67.7,20.3,17.4,47.9,16.9,-7
32,32,11/14/22,N,Villanova,BE,Delaware St.,H,"W, 60-50",91.5,107.3,57.4,104.6,42.4,10.5,20,54.3,87.1,51.1,24.4,16,8.9,13.8,-2
33,33,1/20/23,C,Villanova,BE,St. John's,A,"W, 57-49",88.7,74.4,66.2,86.1,44.2,24.2,23.5,26.9,74,34.8,25.7,34.2,21.4,88.3,-1
