#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/13/22,N,Virginia Tech,ACC,William & Mary,H,"W, 94-77",139.8,121.5,64.2,146.4,69.5,10.9,34.6,20.3,119.9,59.5,18.7,34.5,20.7,83.5,19
2,2,2/11/23,C,Virginia Tech,ACC,Notre Dame,A,"W, 93-87",139.2,127.4,65.6,141.8,65.2,7.6,25.9,44.6,132.6,65.3,9.1,21.4,11.3,73.4,1
3,3,1/23/23,C,Virginia Tech,ACC,Duke,H,"W, 78-75",134.6,109.5,63.9,122.1,67.3,17.2,19.2,38.8,117.4,55.8,11,29,20,91.4,3
4,4,1/18/23,C,Virginia Tech,ACC,Virginia,A,"L, 78-68",127,121,60.1,113.2,60,13.3,17.9,3.6,129.9,57.9,8.3,24.1,22.8,63.6,-6
5,5,12/4/22,C,Virginia Tech,ACC,North Carolina,H,"W, 80-72",126.5,96.9,69,116,56.6,14.5,32.3,24.6,104.4,50,14.5,12.1,52.9,95.5,9
6,6,2/18/23,C,Virginia Tech,ACC,Pittsburgh,H,"W, 79-72",123.9,102.9,64.2,123.1,65.6,17.1,28,62.2,112.2,49.2,14,34.3,31.7,89.4,7
7,7,11/7/22,N,Virginia Tech,ACC,Delaware St.,H,"W, 95-57",123.6,98.8,69.4,136.9,66.7,14.4,39.3,33.3,82.1,41.9,17.3,18.4,11.3,92.9,18
8,8,2/4/23,C,Virginia Tech,ACC,Virginia,H,"W, 74-68",122.2,97.8,66.3,111.6,57.5,12.1,11.1,32.1,102.5,45.9,10.6,26.3,29.5,92.8,4
9,9,3/4/23,C,Virginia Tech,ACC,Florida St.,H,"W, 82-60",121.3,95.4,64.6,126.9,66.1,15.5,29.2,16.1,92.9,50.8,20.1,23.3,3.4,94.1,12
10,10,1/31/23,C,Virginia Tech,ACC,Miami FL,A,"L, 92-83",121.3,108.6,72.3,114.8,63.7,19.4,9.1,39.2,127.3,65,15.2,26.9,28.3,78.2,-1
11,11,1/28/23,C,Virginia Tech,ACC,Syracuse,H,"W, 85-70",120.2,95.7,69.8,121.8,64.2,21.5,37.5,25,100.3,54.1,21.5,19.4,49,93.3,12
12,12,11/17/22,N,Virginia Tech,ACC,Old Dominion,N,"W, 75-71",120,105.8,65.8,113.9,53.6,9.1,17.6,37.5,107.8,45.1,10.6,40.9,16.9,81.1,10
13,13,12/7/22,N,Virginia Tech,ACC,Dayton,H,"W, 77-49",119.3,75.7,65.7,117.2,56.3,7.6,15.6,11.1,74.6,32.5,18.3,33.3,28.3,99.5,11
14,14,3/8/23,CT,Virginia Tech,ACC,North Carolina St.,N,"L, 97-77",115.2,132.2,68.4,112.6,56.5,17.6,20,35.2,141.9,70.6,11.7,34.6,19,17.1,-16
15,15,12/11/22,N,Virginia Tech,ACC,Oklahoma St.,N,"W, 70-65",114.9,91.9,68.7,101.9,44.7,14.6,28.9,42.1,94.6,46.4,24.7,29.7,34.5,92.9,3
16,16,2/28/23,C,Virginia Tech,ACC,Louisville,A,"W, 71-54",112.6,95.9,59.2,120,45.3,8.4,42.9,26.6,91.3,43.9,20.3,40,15.8,86.3,7
17,17,11/10/22,N,Virginia Tech,ACC,Lehigh,H,"W, 78-52",112.3,87.2,66.3,117.7,56.8,7.5,17.9,27.1,78.5,40.5,16.6,22.5,3.2,94.8,13
18,18,2/25/23,C,Virginia Tech,ACC,Duke,A,"L, 81-65",112,116.4,64.3,101,47.4,14,21.1,28.1,125.9,63.2,14,28,32.1,39.1,-12
19,19,11/20/22,N,Virginia Tech,ACC,College of Charlesto,A,"L, 77-75",110.6,98.2,73,102.7,54.5,17.8,22.9,7.6,105.4,57.6,19.2,19.4,20.3,79.7,0
20,20,12/31/22,C,Virginia Tech,ACC,Wake Forest,A,"L, 77-75",110.2,101.3,70.2,106.9,50.8,18.5,27.3,32.2,109.7,45.2,10,31.8,41.3,72.4,-2
21,21,2/8/23,C,Virginia Tech,ACC,Boston College,H,"L, 82-76",109.9,126.1,68.3,111.3,50,7.3,23.1,33.9,120.1,59.3,16.1,32.3,30.5,17,-7
22,22,12/17/22,N,Virginia Tech,ACC,Grambling St.,H,"W, 74-48",107.1,85.9,66.2,111.9,61.8,19.7,24.1,39.2,72.6,41.3,28.7,27.3,15.4,92.7,4
23,23,2/21/23,C,Virginia Tech,ACC,Miami FL,H,"L, 76-70",102.9,97.3,69.2,101.2,54.2,17.3,21.9,11.7,109.9,47.7,15.9,36.8,29.7,65.3,-2
24,24,11/18/22,N,Virginia Tech,ACC,Penn St.,N,"W, 61-59",102.8,78.8,63.6,95.9,47.4,14.2,23.5,15.5,92.8,50.9,22,23.5,7.1,95.5,8
25,25,3/7/23,CT,Virginia Tech,ACC,Notre Dame,N,"W, 67-64",102,95.6,64.4,104.1,55,14,10.7,38,99.4,50,12.4,15.6,17.9,67.6,2
