#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/18/22,N,Virginia,ACC,Baylor,N,"W, 86-79",133.9,100.7,66.6,129.1,65.6,21,32,77.8,118.6,57.8,19.5,38.7,24.1,96.4,4
2,2,1/18/23,C,Virginia,ACC,Virginia Tech,H,"W, 78-68",129.6,105.7,60.1,129.9,57.9,8.3,24.1,22.8,113.2,60,13.3,17.9,3.6,91.2,6
3,3,3/10/23,CT,Virginia,ACC,Clemson,N,"W, 76-56",128.9,86.6,62.1,122.4,55,9.7,31.4,26.7,90.2,42.5,19.3,28.9,30.2,99,10
4,4,11/7/22,N,Virginia,ACC,North Carolina Centr,H,"W, 73-61",126.6,107.9,59.5,122.8,54.3,13.5,34.5,63.8,102.6,49.1,13.5,22.9,26.4,86.3,8
5,5,11/11/22,N,Virginia,ACC,Monmouth,H,"W, 89-42",125.3,90.1,62,143.5,67.6,9.7,42.3,46.3,67.7,42.7,33.9,20,36.6,97.8,14
6,6,3/4/23,C,Virginia,ACC,Louisville,H,"W, 75-60",124.5,106.3,57.6,130.3,64,12.2,30.4,28,104.2,47.8,20.8,34.6,43.5,86,12
7,7,1/21/23,C,Virginia,ACC,Wake Forest,A,"W, 76-67",121.7,95,64.8,117.4,52.5,10.8,27.8,28.3,103.5,48,13.9,17.6,43.1,94.5,6
8,8,12/17/22,N,Virginia,ACC,Houston,H,"L, 69-61",120.4,103.3,59.1,103.2,47.9,16.9,20.7,35.4,116.7,56.9,13.5,25.9,25.5,85.3,-4
9,9,11/29/22,N,Virginia,ACC,Michigan,A,"W, 70-68",120.4,102.9,61.9,113.1,54.7,11.3,20,35.8,109.9,61.2,19.4,20.8,20.4,85.9,-2
10,10,3/9/23,CT,Virginia,ACC,North Carolina,N,"W, 68-59",117.5,91.9,61.5,110.6,53.1,9.8,17.2,44.9,95.9,43.4,17.9,29.4,34,94.4,3
11,11,12/31/22,C,Virginia,ACC,Georgia Tech,A,"W, 74-56",116.4,85.3,65.4,113.2,56.1,16.8,33.3,28.1,85.6,52.2,35.2,28.6,28.9,97.3,11
12,12,11/25/22,N,Virginia,ACC,Maryland Eastern Sho,H,"W, 72-45",115.1,82,63.5,113.5,57.8,15.8,25,35.3,70.9,37.3,23.6,23.5,9.1,98,15
13,13,1/14/23,C,Virginia,ACC,Florida St.,A,"W, 67-58",113.7,93.9,59.5,112.5,54.2,10.1,25,5,97.4,44.3,15.1,27.3,26.4,90,9
14,14,1/28/23,C,Virginia,ACC,Boston College,H,"W, 76-57",113.3,92.7,65.7,115.7,55.9,16.7,32.1,16.9,86.8,44.9,24.4,20,28.6,91,7
15,15,2/7/23,C,Virginia,ACC,North Carolina St.,H,"W, 63-50",113,78.1,58.4,107.9,46.8,8.6,20,51.1,85.7,40.4,20.6,34.2,12.3,98.6,10
16,16,11/20/22,N,Virginia,ACC,Illinois,N,"W, 70-61",112.7,90.9,65.7,106.5,46.9,18.3,28.1,66.7,92.8,48.3,19.8,28.2,15.3,92.3,1
17,17,2/28/23,C,Virginia,ACC,Clemson,H,"W, 64-57",112.1,88.2,60.9,105.1,45.4,13.1,32.4,40.7,93.6,48.2,18.1,21.2,9.1,94,6
18,18,1/3/23,C,Virginia,ACC,Pittsburgh,A,"L, 68-65",110.7,97.6,61.5,105.7,55.5,17.9,20.7,7.3,110.6,49.1,13,29,31.5,81,4
19,19,1/7/23,C,Virginia,ACC,Syracuse,H,"W, 73-66",110.6,90.1,67.3,108.5,54.7,14.9,20,41.5,98.1,51.9,23.8,28.1,27.8,91.4,12
