#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/4/23,C,Wagner,NEC,Fairleigh Dickinson,A,"W, 83-79",113.5,123.5,63.9,130,65.1,18.8,34.6,32.1,123.7,67,12.5,4,28,27.4,-4
2,2,11/7/22,N,Wagner,NEC,Temple,A,"W, 76-73",109.6,100,63.4,106.5,47.7,11.2,31.6,34.4,102.3,43.5,18.2,26.5,55.6,74.2,-3
3,3,11/18/22,N,Wagner,NEC,Fairfield,H,"W, 68-52",109.5,92.3,60.5,112.4,59.6,21.5,26.9,34,85.9,36.7,16.5,24.3,44.9,87.6,10
4,4,2/25/23,C,Wagner,NEC,St. Francis PA,A,"W, 68-58",108.1,105.4,57.1,119,50,8.8,41.9,20.3,101.5,48.9,14,16.7,39.1,57.2,5
5,5,1/16/23,C,Wagner,NEC,Merrimack,A,"W, 62-57",106.6,109.4,60.6,102.3,55.2,24.7,25.9,22.9,94,53.4,23.1,24.1,43.2,42.6,0
6,6,1/20/23,C,Wagner,NEC,Central Connecticut,H,"W, 72-50",102.3,91.8,62,116,50,9.7,36.1,19,80.6,35.9,25.8,32.4,52.2,77.7,9
7,7,1/22/23,C,Wagner,NEC,Sacred Heart,H,"W, 68-58",100.5,103,62.6,108.7,61.7,28.8,43.5,27.7,92.7,44.9,20.8,24.2,42.9,43,6
8,8,12/6/22,N,Wagner,NEC,Fordham,A,"L, 72-59",97.1,100.2,68.5,86.1,44.7,11.7,14.7,28.1,105.1,52,16.1,12,48,41.1,3
9,9,11/27/22,N,Wagner,NEC,NJIT,A,"W, 62-57",95.8,102.1,60.3,102.8,44.4,11.6,35.7,19,94.5,48,19.9,32.4,42.9,32.6,0
10,10,12/15/22,N,Wagner,NEC,Stony Brook,H,"W, 58-55",92.7,109.1,57.3,101.3,43,8.7,24.3,15.8,96,41.9,24.4,29.6,81.1,13.3,-1
11,11,2/23/23,C,Wagner,NEC,Stonehill,H,"W, 54-44",91.7,89,55.9,96.5,45.7,28.6,43.3,30.4,78.7,48.7,26.8,12.5,28.2,58.6,6
12,12,12/3/22,N,Wagner,NEC,Army,A,"L, 75-64",91.1,109.7,68.8,93.1,47.6,21.8,29.3,17.7,109.1,53.1,21.8,32.3,57.1,10.6,-7
13,13,11/12/22,N,Wagner,NEC,La Salle,A,"L, 77-69",91,107.7,73,94.6,43.1,17.8,37,35.4,105.5,51.1,20.6,19.4,87,12.6,-9
14,14,1/26/23,C,Wagner,NEC,St. Francis NY,H,"L, 65-56",90.1,118.9,61,91.8,45.1,19.7,26.7,27.5,106.5,53.3,18,24.1,53.3,4,1
15,15,12/29/22,C,Wagner,NEC,LIU Brooklyn,A,"W, 69-61",89.6,107.9,68.4,100.9,45.3,23.4,44.2,31.2,89.2,54.4,20.5,19.4,62.2,10.6,2
16,16,2/11/23,C,Wagner,NEC,LIU Brooklyn,H,"W, 58-46",88.3,86.3,60.8,95.4,45.1,16.5,31.6,6.6,75.7,41.1,23,16.7,31.1,56.6,14
17,17,2/9/23,C,Wagner,NEC,St. Francis NY,A,"L, 64-62",88.2,114.9,58,95,39,16.8,38.5,35.6,98,43.3,24.5,47.4,26.7,4.5,-6
18,18,1/5/23,C,Wagner,NEC,Stonehill,A,"L, 62-58",85.9,102.6,66.2,87.6,39,21.1,35,23.7,93.6,46.4,27.2,24.1,69,11.5,-2
19,19,1/7/23,C,Wagner,NEC,St. Francis PA,H,"L, 68-63",85.4,108.8,65.9,95.7,45.2,21.3,36.8,16.1,103.2,53,19.7,26.7,42,5.8,-3
20,20,12/20/22,N,Wagner,NEC,Delaware St.,A,"W, 58-51",85.3,94,62.9,92.2,39.5,22.3,41.5,33.3,81.1,47.9,27,19.2,17,24.5,1
21,21,2/2/23,C,Wagner,NEC,Sacred Heart,A,"L, 65-56",84.8,109,63.7,87.9,41.5,25.1,43.2,13.6,102.1,50,15.7,24.2,33.3,5.3,-4
22,22,2/16/23,C,Wagner,NEC,Central Connecticut,A,"L, 58-57",82.7,102.2,62.3,91.5,41,14.4,33.3,23,93.1,43.6,22.5,34.4,48.9,8.1,-4
23,23,3/1/23,CT,Wagner,NEC,Sacred Heart,A,"L, 67-55",82.6,106.5,65.8,83.6,35.8,21.3,44.2,38.3,101.8,51.9,16.7,20,25.9,5.1,-3
24,24,11/20/22,N,Wagner,NEC,Seton Hall,A,"L, 82-44",81.4,113.1,66.9,65.8,34.7,22.4,22.7,13.6,122.6,62,17.9,33.3,38.9,2.2,-14
25,25,12/31/22,C,Wagner,NEC,Merrimack,H,"L, 58-48",78.8,111.6,61.8,77.7,29.7,22.7,40.9,27.1,93.9,51.9,29.1,15,161.5,1.8,-8
26,26,2/18/23,C,Wagner,NEC,Fairleigh Dickinson,H,"L, 66-48",68.9,96.7,64.8,74,37.8,26.2,26.5,32.7,101.8,51,23.1,31,33.3,2,-4
