#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/17/23,C,Wake Forest,ACC,Clemson,H,"W, 87-77",127.6,100,72.7,119.7,53.3,8.3,28.9,54.1,106,48.5,15.1,26.3,21.2,94.3,8
2,2,1/14/23,C,Wake Forest,ACC,Boston College,A,"W, 85-63",126.9,93.9,68.4,124.2,60,11.7,30.3,20,92.1,46.4,21.9,25,25.5,97,11
3,3,11/29/22,N,Wake Forest,ACC,Wisconsin,A,"W, 78-75",125.6,106.3,69.1,112.9,61.1,21.7,34.6,29.6,108.6,53.6,17.4,20,32.1,87.2,2
4,4,12/20/22,C,Wake Forest,ACC,Duke,H,"W, 81-70",124.5,91.6,71.5,113.3,55.7,21,29,49.1,97.9,50.8,18.2,20,23.7,97.2,7
5,5,2/7/23,C,Wake Forest,ACC,North Carolina,H,"W, 92-85",123.7,92.3,83.2,110.6,47.6,6,10.3,67.7,102.2,43.2,14.4,32.6,35.1,96.7,14
6,6,1/4/23,C,Wake Forest,ACC,North Carolina,A,"L, 88-79",123.3,112.4,71.4,110.6,57.9,21,32.3,35.1,123.2,59.5,12.6,23.3,41.4,74.3,-2
7,7,1/7/23,C,Wake Forest,ACC,Louisville,A,"W, 80-72",122,105.1,66.1,121.1,64.5,16.6,27.6,25.5,109,51.7,21.2,39.5,33.9,84.7,13
8,8,11/26/22,N,Wake Forest,ACC,Hampton,H,"W, 97-70",121.5,102,72.6,133.6,65,15.1,34.4,10,96.4,51,23.4,22.9,44.2,88.2,21
9,9,2/22/23,C,Wake Forest,ACC,North Carolina St.,A,"L, 90-74",120.7,117.7,67.2,110.1,63.5,20.8,14.8,19.2,133.9,64.5,10.4,28.6,22.6,57.1,-4
10,10,1/11/23,C,Wake Forest,ACC,Florida St.,H,"W, 90-75",120.3,108.2,71.3,126.2,68.5,16.8,14.8,38.9,105.2,61.1,23.8,26.9,25.9,77.1,7
11,11,2/18/23,C,Wake Forest,ACC,Miami FL,A,"L, 96-87",118.8,110.5,75.7,115,68.1,25.1,20,13.8,126.9,65.1,13.2,22.2,28.6,69.5,-5
12,12,11/23/22,N,Wake Forest,ACC,South Carolina St.,H,"W, 105-74",117.9,104.9,78.2,134.3,76.4,20.5,28.6,58.5,94.6,41.8,14.1,34.6,17.7,79.2,14
13,13,1/28/23,C,Wake Forest,ACC,North Carolina St.,H,"L, 79-77",117.7,105.5,68.5,112.4,49.2,8.8,21.6,36.7,115.3,52.2,7.3,31,23.2,77.9,3
14,14,1/25/23,C,Wake Forest,ACC,Pittsburgh,A,"L, 81-79",115.9,111.3,67.7,116.7,59.6,10.3,15.6,31.6,119.7,63.8,16.3,16.7,13.8,61.4,-6
15,15,1/31/23,C,Wake Forest,ACC,Duke,A,"L, 75-73",114,101.2,69.8,104.6,44.5,12.9,25,26.6,107.5,55.6,20.1,29,37,79.8,-6
16,16,1/21/23,C,Wake Forest,ACC,Virginia,H,"L, 76-67",112.4,112.8,64.8,103.5,48,13.9,17.6,43.1,117.4,52.5,10.8,27.8,28.3,48.9,-6
17,17,11/11/22,N,Wake Forest,ACC,Georgia,H,"W, 81-71",112.3,93.2,74.7,108.5,59.4,21.4,25,49.1,95.1,48.4,20.1,24.4,30.6,89.5,12
18,18,12/31/22,C,Wake Forest,ACC,Virginia Tech,H,"W, 77-75",109.9,99.3,70.2,109.7,45.2,10,31.8,41.3,106.9,50.8,18.5,27.3,32.2,76.2,2
19,19,2/4/23,C,Wake Forest,ACC,Notre Dame,A,"W, 81-64",109.6,91.9,70,115.7,65.5,20,14.8,20,91.4,40.8,5.7,21.3,14.1,88.3,2
20,20,2/11/23,C,Wake Forest,ACC,Georgia Tech,H,"W, 71-70",107.4,108.4,66.1,107.4,50,15.1,22.6,46.2,105.9,47,16.6,38.5,12.1,47.4,0
21,21,12/14/22,N,Wake Forest,ACC,Appalachian St.,H,"W, 67-66",106,105.1,65.2,102.7,47.5,16.9,33.3,21.7,101.1,57.3,21.5,25,12.7,52.6,1
22,22,2/28/23,C,Wake Forest,ACC,Boston College,H,"L, 71-69",104.6,109.3,66.7,103.4,55.7,19.5,21.4,32.1,106.4,58,18,22.2,12.5,37.7,0
23,23,12/10/22,N,Wake Forest,ACC,LSU,N,"L, 72-70",104.5,101,68.7,102,55.5,21.8,27.6,23.6,104.9,51.6,10.2,23.7,23.4,59.6,5
24,24,3/8/23,CT,Wake Forest,ACC,Syracuse,N,"W, 77-74",104,98.7,72.4,106.4,52.4,19.3,26.5,19.4,102.2,46.9,16.6,29.3,26.6,64.5,1
25,25,3/9/23,CT,Wake Forest,ACC,Miami FL,N,"L, 74-72",103.7,98.5,68.4,105.2,49.2,14.6,31,21.2,108.1,57.6,17.5,28.1,18.6,64.4,-6
26,26,11/18/22,N,Wake Forest,ACC,La Salle,N,"W, 75-63",100.7,93,70.7,106.1,50.8,14.1,25,15.4,89.1,50,22.6,18.8,30.2,71.4,2
27,27,11/7/22,N,Wake Forest,ACC,Fairfield,H,"W, 71-59",99.4,96.5,67.8,104.7,45.7,14.7,23.5,84.8,87,45.5,19.2,18.4,30.9,58.3,4
28,28,12/17/22,N,Wake Forest,ACC,Rutgers,A,"L, 81-57",99.1,113,69.2,82.4,51,31.8,25,18,117.1,64.2,23.1,32,35.8,18.2,-11
29,29,11/15/22,N,Wake Forest,ACC,Utah Valley,H,"W, 68-65",96.9,88.7,66.1,91.5,38.5,14.8,23.9,32.3,87.4,36,14.8,36,16,73.5,-2
30,30,11/20/22,N,Wake Forest,ACC,Loyola Marymount,N,"L, 77-75",96.7,95,69.4,96.1,52.5,23.1,25.7,31.7,98.7,54.2,23.1,21.6,28.3,55.2,-1
31,31,2/25/23,C,Wake Forest,ACC,Notre Dame,H,"W, 66-58",96,86.8,65.8,100.2,45.8,19.7,35.7,32.2,88.1,44.3,16.7,15.6,26.4,76,3
32,32,12/2/22,C,Wake Forest,ACC,Clemson,A,"L, 77-57",93.7,93.2,71.8,79.4,40.7,15.3,12.2,23.7,107.3,61.6,26.5,9.5,58.1,51.6,-1
