#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/2/23,C,Washington St.,P12,Washington,A,"W, 93-84",150.3,121,67.3,138.1,59.7,14.9,52.9,25.4,124.7,57,13.4,37.1,25,92.3,9
2,2,11/25/22,N,Washington St.,P12,Detroit,H,"W, 96-54",135.2,83.8,63.6,150.9,77.7,17.3,33.3,21.4,84.9,43.6,23.6,28.1,42.6,99.6,23
3,3,1/1/23,C,Washington St.,P12,USC,H,"W, 81-71",132.5,101.4,65.1,124.5,61.8,13.8,26.5,36.4,109.1,45.4,16.9,46.2,24.6,95.6,8
4,4,2/16/23,C,Washington St.,P12,Oregon St.,H,"W, 80-62",127.3,101.8,64.2,124.6,73.5,17.1,8.3,26.5,96.5,52.9,21.8,21.4,17.3,92.9,13
5,5,1/7/23,C,Washington St.,P12,Arizona,A,"W, 74-61",123.1,80.6,65.5,113,48.4,13.7,35,21.9,93.2,34.9,12.2,41.3,44.4,99.2,7
6,6,12/30/22,C,Washington St.,P12,UCLA,H,"L, 67-66",122.6,95.5,64.1,103,50,21.8,36.4,21.4,104.6,39.7,9.4,26.3,37.9,94.6,5
7,7,11/21/22,N,Washington St.,P12,Eastern Washington,N,"W, 82-56",120.8,82.6,65.2,125.8,60.2,9.2,24.3,15.6,85.9,36.1,13.8,29.3,23,98.7,14
8,8,11/7/22,N,Washington St.,P12,Texas St.,H,"W, 83-61",119.7,100.1,64.9,127.9,60.9,18.5,45.2,43.6,94,49,17,24.2,52,88.7,7
9,9,12/7/22,N,Washington St.,P12,Northern Kentucky,H,"W, 68-47",117.2,84.5,58,117.3,60,27.6,57.7,20,81.1,46.4,22.4,3.7,31,97.7,11
10,10,2/23/23,C,Washington St.,P12,Stanford,A,"W, 67-63",117.2,98.5,58,115.5,62.5,20.7,34.6,25,108.6,50,15.5,31.2,16.1,88.1,2
11,11,2/2/23,C,Washington St.,P12,USC,A,"L, 80-70",116.9,105.2,67.3,104,52.5,17.8,31.2,22,118.9,60.6,10.4,12,46.2,77.2,0
12,12,1/5/23,C,Washington St.,P12,Arizona St.,A,"L, 77-71",116.6,113.6,66.7,106.4,51.6,18,33.3,14.3,115.4,59.8,15,21.4,26.8,57.3,-6
13,13,1/28/23,C,Washington St.,P12,Arizona St.,H,"W, 75-58",114.1,85,69.8,107.5,47.7,17.2,38.1,27.7,83.1,38.4,17.2,18.4,33.9,96.7,7
14,14,1/19/23,C,Washington St.,P12,Utah,A,"L, 77-63",113.8,118.9,61.9,101.8,39.3,11.3,35.7,31.1,124.5,63.4,12.9,27.6,21.4,37.6,-7
15,15,12/10/22,N,Washington St.,P12,UNLV,N,"L, 74-70",112.2,111.1,65.2,107.4,67.7,33.7,34.8,16.7,113.5,57.3,10.7,16.7,29.1,52.9,-4
16,16,1/14/23,C,Washington St.,P12,Stanford,H,"W, 60-59",112.1,103.6,53,113.3,56.2,11.3,24.1,22.9,111.4,50,18.9,44.8,23.5,71.3,0
17,17,2/19/23,C,Washington St.,P12,Oregon,H,"W, 68-65",110.3,95.8,63.3,107.4,50,9.5,23.1,14.3,102.7,54.5,19,28.6,12.7,83.3,1
18,18,12/25/22,N,Washington St.,P12,Utah St.,N,"L, 82-73",110.2,108.6,68.7,106.2,46.3,18.9,31,48.1,119.3,70.8,18.9,24,28.3,54.2,-9
19,19,3/9/23,CT,Washington St.,P12,Oregon,N,"L, 75-70",109.3,105.2,66.1,105.9,54.8,16.6,17.2,28.8,113.5,50,13.6,30.6,31.7,60.8,-5
20,20,3/8/23,CT,Washington St.,P12,California,N,"W, 69-52",108.4,86.6,64.4,107.1,49.2,18.6,37.8,21.7,80.7,38.7,17.1,17.1,26.4,93,12
21,21,1/11/23,C,Washington St.,P12,California,H,"W, 66-51",103.4,93.9,61.6,107.1,55,21.1,32.4,40,82.8,40.6,17.8,21.2,18.9,75.3,5
22,22,12/18/22,N,Washington St.,P12,Baylor,N,"L, 65-59",101.9,88.8,61.2,96.5,50,26.2,39.4,23.1,106.3,52,21.3,32.1,32,83,-1
23,23,2/4/23,C,Washington St.,P12,UCLA,A,"L, 76-52",101.6,102,64.9,80.1,39.1,23.1,28.9,25.5,117,55.6,15.4,38.2,17.7,48.9,-8
24,24,12/1/22,C,Washington St.,P12,Oregon,A,"L, 74-60",101.2,97.7,65.8,91.2,50,25.8,29.6,15.1,112.5,54,16.7,37.9,12.9,59.9,-2
25,25,2/25/23,C,Washington St.,P12,California,A,"W, 63-57",101.1,95.9,63.5,99.3,38.9,9.5,21.6,48.1,89.8,42.2,9.5,8.8,35.3,64.7,4
26,26,11/12/22,N,Washington St.,P12,Boise St.,A,"L, 71-61",97.8,90.7,71.7,85,39.7,20.9,33.3,25.4,99,47.4,11.2,17.6,43.1,70.2,-3
27,27,2/11/23,C,Washington St.,P12,Washington,H,"W, 56-51",96.9,82.8,61.3,91.3,36.2,13,39.5,36.2,83.2,37.5,16.3,23.1,25,85.9,5
28,28,1/22/23,C,Washington St.,P12,Colorado,A,"L, 58-55",96.7,85.4,65,84.6,43.1,26.1,25.8,29.4,89.2,52.4,26.1,26.9,54.8,80.8,1
29,29,12/22/22,N,Washington St.,P12,George Washington,N,"W, 66-64",95.1,91.3,66.1,99.8,48.2,21.2,37.1,31.6,96.8,51.8,13.6,13.3,21.8,61.6,3
30,30,12/4/22,C,Washington St.,P12,Utah,H,"L, 67-65",92.7,87.4,67.2,85.9,35.3,15.9,32,38.2,88.6,48.2,25.1,27,41.8,66.3,-1
31,31,12/23/22,N,Washington St.,P12,Hawaii,A,"L, 62-51",90.9,96.6,63.1,80.9,33.1,19,29.3,25.4,98.3,52.1,15.9,23.1,40.4,33.2,-2
32,32,11/15/22,N,Washington St.,P12,Prairie View A&M,A,"L, 70-59",89,121.6,65.8,89.6,39.8,22.8,18.8,65.9,106.4,53.3,13.7,24.2,9.8,2.7,-13
33,33,1/26/23,C,Washington St.,P12,Arizona,H,"L, 63-58",83.8,78,72.4,80.1,36.2,19.3,19.5,32.8,87,51.7,22.1,15.2,10.3,69.6,-6
