#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/2/23,C,Washington,P12,Washington St.,H,"L, 93-84",129.1,133.3,67.3,124.7,57,13.4,37.1,25,138.1,59.7,14.9,52.9,25.4,40.9,-9
2,2,1/19/23,C,Washington,P12,Colorado,A,"W, 75-72",122.7,96.5,70.6,106.3,63,31.2,32,28,102,46.1,18.4,41,31.2,94.1,7
3,3,1/12/23,C,Washington,P12,Stanford,H,"W, 86-69",119.3,89.2,71.6,120.1,63.6,16.8,22.2,22,96.3,40.7,16.8,38.3,24.3,96.6,10
4,4,1/28/23,C,Washington,P12,Arizona,H,"L, 95-72",116.8,111.9,70.6,101.9,50,17,23.5,17.7,134.5,60.8,12.7,39.4,29.2,62.2,-3
5,5,11/14/22,N,Washington,P12,Utah Tech,H,"W, 78-67",114.6,107.4,64.1,121.7,67.3,17.2,14.8,36.7,104.5,46.1,12.5,41.7,21.9,67.8,0
6,6,12/13/22,N,Washington,P12,Cal Poly,H,"W, 74-68",113.7,129.1,62.3,118.9,52.1,12.8,26.9,62.5,109.2,49.2,16.1,41,14.3,18.9,-6
7,7,3/8/23,CT,Washington,P12,Colorado,N,"L, 74-68",113.1,111.2,66.2,102.8,48.2,16.6,27.3,30.4,111.9,49.2,15.1,41.7,16.7,54.8,-5
8,8,12/17/22,N,Washington,P12,Idaho St.,H,"W, 90-55",111.8,83.9,73.4,122.7,62.1,16.4,25.9,25.8,75,38.5,15,16.7,24.6,96.5,12
9,9,12/4/22,C,Washington,P12,Colorado,H,"W, 73-63",110.1,88.6,71.9,101.5,56.7,25,19,30.8,87.6,48.3,25,36.1,22,92.4,5
10,10,11/28/22,N,Washington,P12,Seattle,H,"W, 77-66",108.5,96.1,73.1,105.4,52.9,20.5,20.7,50,90.3,39.7,20.5,38.8,11,80.2,6
11,11,2/15/23,C,Washington,P12,Oregon,H,"W, 72-71",107.9,96.9,60.8,105.2,52.6,16.1,20,28.1,103.8,46.3,17.5,42.9,16.2,77.4,-2
12,12,2/4/23,C,Washington,P12,USC,A,"L, 80-74",107.6,95.8,75.4,98.1,49.1,19.9,21.9,45.5,106.1,47.7,14.6,28.6,32.3,79.2,-1
13,13,1/5/23,C,Washington,P12,Arizona,A,"L, 70-67",106.4,83.1,70.7,94.8,50,24.1,31.6,18,99.1,43.2,15.6,33.3,25.8,94.4,3
14,14,2/2/23,C,Washington,P12,UCLA,A,"L, 70-61",104.9,98.4,66.9,91.2,53.1,29.9,24.1,26.5,104.7,54.7,26.9,46.7,34,67.5,-11
15,15,11/24/22,N,Washington,P12,Saint Mary's,N,"W, 68-64",104.6,79.3,66.5,90.9,49,30.7,33.3,40.4,85.5,42.2,21.4,28.6,21.9,96,2
16,16,12/30/22,C,Washington,P12,USC,H,"L, 80-67",104.4,105,69.8,96,39,18.6,42.2,26.5,114.7,50,22.9,56.2,34.4,48.3,-3
17,17,1/14/23,C,Washington,P12,California,H,"W, 81-78",104.3,116,67,107.4,56.4,19.9,26.7,49.1,103.4,46.5,11.9,31.8,29.6,22.8,-3
18,18,1/21/23,C,Washington,P12,Utah,A,"L, 86-61",103.6,122,66.7,91.4,40.9,16.5,32.6,12.1,128.9,56.6,16.5,54.3,20.6,13.3,-12
19,19,11/7/22,N,Washington,P12,Weber St.,H,"W, 69-52",100,88,67,103,52.9,22.4,34.5,45.1,77.6,40,26.9,16.7,42.2,81.3,3
20,20,1/8/23,C,Washington,P12,Arizona St.,A,"L, 73-65",99.9,97.1,72.7,89.4,41,17.9,28.3,20.9,100.4,47.2,15.1,32.6,14.1,58.3,-4
21,21,11/17/22,N,Washington,P12,Cal Baptist,H,"L, 73-64",96.4,109.9,67.7,94.6,42.9,14.8,30.2,25.4,107.8,58.5,16.3,14.8,61.7,18.1,-4
22,22,12/21/22,N,Washington,P12,Auburn,H,"L, 84-61",95.6,106.2,72.1,84.6,41.2,19.4,16.2,31.6,116.5,62.7,20.8,37.9,27.1,23,-9
23,23,2/23/23,C,Washington,P12,California,A,"W, 65-56",94.4,82.6,71.2,91.3,51,22.5,22.6,53.1,78.7,32.8,21.1,37,32.8,82.2,8
