#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/23/23,C,Weber St.,BSky,Eastern Washington,H,"L, 89-82",119.6,126.3,66.7,123,52.5,15,37.1,40.7,133.5,67,15,28.6,43.4,34.7,-2
2,2,12/16/22,N,Weber St.,BSky,Cal Poly,A,"W, 74-45",117.3,83.8,62.5,118.5,63.7,19.2,24,23.5,72,38.8,22.4,18.2,22.4,98,12
3,3,2/27/23,C,Weber St.,BSky,Northern Arizona,A,"W, 90-89",115.3,116.3,66,121.2,66.7,20.2,26.7,33.3,119.8,50.6,13.5,42,26,47.7,-1
4,4,2/9/23,C,Weber St.,BSky,Montana St.,H,"W, 73-63",114.9,102.8,64.2,113.8,64.1,18.7,13,39.1,98.2,58.2,23.4,14.8,20.4,78.4,0
5,5,3/6/23,CT,Weber St.,BSky,Sacramento St.,N,"W, 70-64",111.4,99.9,62.8,111.5,58.8,9.6,0,23.5,102,60.2,23.9,18.2,12.2,77.9,10
6,6,12/19/22,N,Weber St.,BSky,Utah St.,A,"W, 75-72",110.6,92.7,70.7,106.1,57.9,15.6,15.6,28.1,101.9,50,14.1,8.8,58,88.5,-7
7,7,1/28/23,C,Weber St.,BSky,Eastern Washington,A,"L, 75-71",110.3,110.4,63.4,112,57.8,12.6,10,31.4,118.3,62,20.5,32.1,20.4,49.7,-3
8,8,1/19/23,C,Weber St.,BSky,Portland St.,H,"W, 84-68",108.9,90,75.6,111.1,66.7,22.5,25.9,35.2,90,43.1,17.2,5.7,66.7,89.9,14
9,9,12/29/22,C,Weber St.,BSky,Northern Colorado,H,"W, 81-72",108.2,101.3,70.3,115.2,50.9,15.6,33.3,44.8,102.4,52.4,17.1,24.3,14.3,67.9,7
10,10,1/26/23,C,Weber St.,BSky,Idaho,A,"W, 73-65",103.8,90.7,69,105.8,64.1,23.2,13.6,41.3,94.2,52,18.8,3.2,38.8,82.4,13
11,11,12/31/22,C,Weber St.,BSky,Northern Arizona,H,"W, 76-60",101.2,95.2,66.5,114.4,63,19.6,17.4,32,90.3,50.9,24.1,21.9,13,66.8,1
12,12,11/22/22,N,Weber St.,BSky,Abilene Christian,N,"W, 77-67",100.9,96.1,72.1,106.9,52.9,25,28.6,49,93,57.5,20.8,7.7,20.8,63.8,0
13,13,2/11/23,C,Weber St.,BSky,Montana,H,"L, 74-69",100.8,115,64.3,107.3,55.2,15.5,19.4,13.8,115,65.4,24.9,32,11.5,18.1,-6
14,14,2/4/23,C,Weber St.,BSky,Idaho St.,A,"W, 72-71",99.9,101.5,56.6,101.7,52.6,21.2,29,28.1,100.3,51,22.6,25,44.2,45.4,1
15,15,12/22/22,N,Weber St.,BSky,BYU,A,"L, 63-57",97.4,92,64.1,88.9,45.3,14,15.2,22.6,98.3,44.2,23.4,33.3,38.5,65.7,-2
16,16,11/29/22,N,Weber St.,BSky,Tarleton St.,A,"L, 75-65",97.4,102.4,71.5,90.9,48.9,30.8,23.3,46.8,104.8,57.3,18.2,24.1,72.9,35.9,-4
17,17,11/21/22,N,Weber St.,BSky,UC Riverside,N,"L, 72-65",96.9,116.3,63.5,102.4,52.3,18.9,20,63.6,113.4,58.2,18.9,30.3,25.5,10.9,-11
18,18,1/12/23,C,Weber St.,BSky,Montana,A,"W, 59-57",96.6,92.2,59.7,98.9,47.1,13.4,21.9,33.3,95.6,50,13.4,9.7,22.4,63.1,0
19,19,12/3/22,N,Weber St.,BSky,Utah Tech,H,"L, 77-65",94.2,117.7,65.8,98.8,54.3,19.8,4,37,117.1,58,16.7,22.2,44,7.1,-11
20,20,2/25/23,C,Weber St.,BSky,Idaho,H,"W, 67-53",93.3,86.4,64.9,103.3,50.9,12.3,17.6,17.2,81.7,43.6,20,11.1,40.4,70.6,7
21,21,11/23/22,N,Weber St.,BSky,Wright St.,N,"L, 87-65",92.9,123.2,70.2,92.6,41.7,14.2,19.5,26.7,123.9,71.9,19.9,15,10.5,3.8,-11
22,22,2/18/23,C,Weber St.,BSky,Portland St.,A,"W, 65-57",92.8,86.5,67.6,96.2,48.1,25.2,41.9,35.8,84.4,38.8,19.2,25.6,29.3,69.4,2
23,23,12/7/22,N,Weber St.,BSky,Cal Baptist,A,"L, 64-52",88.4,107.4,60.2,86.3,41,19.9,24.2,24,106.2,50,23.2,44.4,13.6,9.6,-9
24,24,11/7/22,N,Weber St.,BSky,Washington,A,"L, 69-52",88.3,97,67,77.6,40,26.9,16.7,42.2,103,52.9,22.4,34.5,45.1,25.5,-3
25,25,2/16/23,C,Weber St.,BSky,Sacramento St.,A,"W, 52-49",87.8,86,57.7,90.2,42.6,15.6,21.9,38.3,85,43,17.3,21.2,20,55.8,2
26,26,1/14/23,C,Weber St.,BSky,Montana St.,A,"L, 67-52",86.2,104.7,63.6,81.8,46.7,25.2,11.1,28.9,105.4,51,15.7,21.9,42,9.7,-12
27,27,1/7/23,C,Weber St.,BSky,Idaho St.,H,"L, 67-57",86.1,101.3,66.1,86.2,38.9,22.7,16.1,55.6,101.3,47.9,21.2,29,54.2,13.4,0
28,28,3/7/23,CT,Weber St.,BSky,Montana St.,N,"L, 60-58",83.4,78.8,59.8,77.7,37.1,20.1,21.1,32.8,80.3,39.4,22.8,16.7,50,65.6,0
29,29,2/6/23,C,Weber St.,BSky,Northern Colorado,A,"L, 88-54",79.8,120.6,68.5,78.8,37.7,16.1,21.3,42.1,128.5,70.9,14.6,19.2,29.1,0.9,-14
30,30,11/14/22,N,Weber St.,BSky,Colorado St.,A,"L, 77-52",79.2,103.2,67.9,76.6,39.3,22.1,22.5,21.4,113.4,63.9,13.3,6.9,27.8,4.5,-13
31,31,1/21/23,C,Weber St.,BSky,Sacramento St.,H,"W, 50-48",77.7,80,61.7,81.1,38.5,19.5,23.7,26.9,77.9,33.6,19.5,29.3,25.5,41.5,3
