#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/20/23,C,West Virginia,B12,Oklahoma St.,H,"W, 85-67",133,91.7,71.5,118.9,49.2,12.6,41.5,37.9,93.7,40.4,25.2,37.1,65.4,98.6,12
2,2,2/4/23,C,West Virginia,B12,Oklahoma,H,"W, 93-61",132.2,82.3,73.6,126.4,53.9,13.6,39.5,48.4,82.9,41.5,21.7,30,37.3,99.6,15
3,3,12/7/22,N,West Virginia,B12,Navy,H,"W, 85-64",131.8,106.1,63.7,133.4,64.7,14.1,37.9,27.6,100.5,54.5,14.1,15.6,14.3,92.4,11
4,4,11/18/22,N,West Virginia,B12,Penn,H,"W, 92-58",131,85.5,67.4,136.4,66.7,10.4,24,48.1,86,40.8,26.7,45.2,30,99.3,17
5,5,2/27/23,C,West Virginia,B12,Iowa St.,A,"W, 72-69",129.2,101.4,64.2,112.1,53,18.7,28,46,107.4,53.8,15.6,26.7,34.6,94.2,1
6,6,3/8/23,CT,West Virginia,B12,Texas Tech,N,"W, 78-62",129.1,93.4,63.6,122.7,47.7,14.2,48.7,25.8,97.5,41.8,23.6,42.9,30.9,97.7,7
7,7,1/14/23,C,West Virginia,B12,Oklahoma,A,"L, 77-76",127.4,114.4,64.2,118.3,61.8,7.8,14.8,29.1,119.9,65.6,21.8,28.6,55.6,77.6,-4
8,8,1/28/23,N,West Virginia,B12,Auburn,H,"W, 80-77",127.2,98.5,70.7,113.1,54.6,17,26.7,46.3,108.9,54.2,18.4,29,30.5,95,8
9,9,1/18/23,C,West Virginia,B12,TCU,H,"W, 74-65",121.6,86.8,68.3,108.3,50,21.9,50,48.1,95.1,54.8,27.8,19,61.9,98,10
10,10,2/8/23,C,West Virginia,B12,Iowa St.,H,"W, 76-71",120.7,94.9,71.6,106.2,50,15.4,10.7,62,99.2,52,19.6,20,48,94,4
11,11,3/4/23,C,West Virginia,B12,Kansas St.,H,"W, 89-81",119.4,96.9,80.8,110.2,56.8,19.8,24.1,42.4,100.3,53.7,24.8,33.3,17.9,91.7,2
12,12,12/18/22,N,West Virginia,B12,Buffalo,H,"W, 96-78",118.5,106.3,77.4,124,57.8,18.1,41.7,51.6,100.7,54.7,19.4,25.7,20.3,77.7,5
13,13,2/13/23,C,West Virginia,B12,Baylor,A,"L, 79-67",118.4,110.1,59.9,111.9,51.9,21.7,50,30.2,132,64.7,21.7,42.3,29.4,69.7,-6
14,14,11/11/22,N,West Virginia,B12,Pittsburgh,A,"W, 81-56",117.4,80.1,67.3,120.4,59.6,16.3,28.6,33.3,83.2,47.8,28.2,24.1,40,98.8,8
15,15,1/31/23,C,West Virginia,B12,TCU,A,"L, 76-72",116.3,104.6,68,105.8,49.1,14.7,23.5,33.3,111.7,53.4,10.3,20,32.8,77.1,-5
16,16,1/25/23,C,West Virginia,B12,Texas Tech,A,"W, 76-61",116.1,89.3,67.3,113,47.1,28.2,54.3,68.6,90.7,41.7,19.3,30.6,42.6,95.3,1
17,17,11/27/22,N,West Virginia,B12,Florida,N,"W, 84-55",115.7,72.9,76.9,109.2,48.5,16.9,40.5,38.8,71.5,36.2,18.2,15,37.9,99.5,13
18,18,12/3/22,N,West Virginia,B12,Xavier,A,"L, 84-74",115.5,98.1,71.2,104,53.4,16.9,24.2,25.4,118,58.7,21.1,31,57.7,86.8,3
19,19,2/25/23,C,West Virginia,B12,Kansas,A,"L, 76-74",115.4,94.2,73.4,100.9,50.8,28.6,41.2,23,103.6,64.7,25.9,23.1,33.3,91.2,-2
20,20,12/10/22,N,West Virginia,B12,UAB,H,"W, 81-70",114.9,92,72.7,111.4,54.6,17.9,25,46.3,96.3,51.8,26.1,32.4,31.6,92.8,5
