#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/18/22,N,Western Carolina,SC,McNeese St.,A,"W, 88-69",124.8,103.9,67.3,130.7,69,17.8,35.7,62,102.5,47.4,16.3,29.3,39.7,89.2,16
2,2,11/19/22,N,Western Carolina,SC,Lamar,N,"W, 98-91",115.8,132.7,68,128.1,67.2,19.6,35.5,37.7,118.9,62.7,18.3,28,23.8,17.2,2
3,3,3/4/23,CT,Western Carolina,SC,East Tennessee St.,N,"W, 69-57",115.4,95,60.2,114.7,59.3,15,27.6,16.7,94.8,40.9,13.3,26.8,34.5,90.3,12
4,4,12/31/22,C,Western Carolina,SC,Furman,H,"W, 79-67",114.7,100.3,65.1,121.4,61.1,23.1,40.7,29.6,103,57.1,18.4,17.2,36.7,82.3,0
5,5,1/11/23,C,Western Carolina,SC,Chattanooga,A,"L, 95-76",114.3,130.7,67.7,112.3,46.2,7.4,27,30.8,140.4,69.6,8.9,18.2,52.9,17.7,-6
6,6,2/25/23,C,Western Carolina,SC,VMI,H,"W, 85-66",111.3,119.1,63.9,133,61.8,12.5,28.6,34.5,103.3,42.8,7.8,32.6,11.6,31.3,3
7,7,3/5/23,CT,Western Carolina,SC,Furman,N,"L, 83-80",108.1,109.9,63.5,112,47.8,11.2,36.8,27.9,116.2,44.9,4.2,27.3,78,45.2,-7
8,8,12/17/22,N,Western Carolina,SC,Tennessee Tech,A,"W, 75-65",106.7,104.7,65.6,114.4,52.7,12.2,25,40,99.2,51.9,18.3,15.6,26.9,55.4,1
9,9,2/1/23,C,Western Carolina,SC,Samford,H,"L, 85-77",106.5,113.7,71.8,107.2,50.9,12.5,21.1,49.1,118.3,58.2,19.5,30.8,43.6,31.9,-2
10,10,2/4/23,C,Western Carolina,SC,Chattanooga,H,"W, 83-68",105.9,90.2,74.7,111.2,57.3,16.1,13.8,43.6,91.1,40.6,10.7,17,35.9,86.3,8
