#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/10/22,N,Western Illinois,Sum,Eastern Illinois,A,"W, 79-75",115.7,132.5,63.6,124.2,60.2,15.7,33.3,29.6,117.9,57.3,14.1,22.2,25.5,17.4,-2
2,2,1/7/23,C,Western Illinois,Sum,Denver,H,"W, 91-74",112.9,105.7,75.1,121.1,59.7,12,27.8,45.2,98.5,53.6,29.3,34.4,38.2,68,8
3,3,1/23/23,C,Western Illinois,Sum,North Dakota,H,"W, 92-80",111,114.6,74.2,124.1,75.5,20.2,14.3,32.1,107.9,57,13.5,12.1,17.2,40.8,1
4,4,1/26/23,C,Western Illinois,Sum,South Dakota,H,"W, 75-72",110.2,119.8,62.2,120.6,61.6,11.3,25.8,23.2,115.8,50.8,6.4,27.3,21,27.7,2
5,5,12/3/22,N,Western Illinois,Sum,UT Rio Grande Valley,H,"W, 90-72",107.8,96,77.9,115.5,58.1,12.8,25.7,46.8,92.4,56.1,25.7,20,33.3,79.1,10
6,6,2/4/23,C,Western Illinois,Sum,Nebraska Omaha,A,"W, 75-72",107.5,119.1,64.3,116.6,53.3,14,34.3,26.7,112,56.6,17.1,32.1,35.8,23.5,-4
7,7,2/25/23,C,Western Illinois,Sum,North Dakota St.,A,"L, 71-69",106.7,117,62.1,111.1,52.7,14.5,32.3,25,114.3,58,17.7,28,36,25.7,-5
8,8,2/23/23,C,Western Illinois,Sum,North Dakota,A,"W, 81-70",106.7,96.8,72.1,112.4,50.7,8.3,30,16.7,97.1,44.4,12.5,23.8,34.9,75.4,7
9,9,12/19/22,C,Western Illinois,Sum,North Dakota St.,H,"W, 79-60",106.4,94.3,68.6,115.2,56.9,10.2,19.4,31,87.5,45.4,17.5,14.3,33.3,80,5
10,10,1/28/23,C,Western Illinois,Sum,South Dakota St.,H,"W, 81-73",106.2,111.7,62.8,114.6,56.6,17,37.1,31.1,103.3,50,11.3,15.8,10.4,36.1,-10
11,11,11/30/22,N,Western Illinois,Sum,Southern Indiana,H,"W, 86-78",105.7,106.2,75.4,114,56.5,18.6,29,61.1,103.4,52.2,15.9,25.6,19.1,48.5,6
12,12,2/9/23,C,Western Illinois,Sum,UMKC,H,"L, 76-64",104.3,138.9,59.8,107,51,8.4,12.5,38,127,64.7,18.4,36,27.5,3.6,-4
13,13,11/11/22,N,Western Illinois,Sum,DePaul,A,"L, 86-74",104.1,119,70.8,104.6,42.6,12.7,28.9,42.6,121.5,67,19.8,27.3,23.2,17.7,-10
14,14,12/29/22,C,Western Illinois,Sum,South Dakota St.,A,"L, 71-64",103.9,111.6,62.6,102.2,44.5,12.8,25,30.9,113.4,53.8,19.2,32.1,28.3,30.5,-3
15,15,2/11/23,C,Western Illinois,Sum,Oral Roberts,H,"L, 82-73",103.3,115.5,68.8,106.1,54.7,13.1,15.2,6.2,119.2,58.7,14.5,39.3,19,21.7,-12
16,16,11/21/22,N,Western Illinois,Sum,UT Rio Grande Valley,A,"L, 78-77",99.2,107.6,73.8,104.4,55.5,19,18.2,41.8,105.7,50.9,14.9,22.2,64.8,28.1,-3
17,17,11/7/22,N,Western Illinois,Sum,Illinois St.,A,"W, 71-68",97.7,103,69.3,102.4,49.2,5.8,12.5,15.4,98.1,42,18.8,30.6,44.6,35.2,-1
18,18,3/5/23,CT,Western Illinois,Sum,St. Thomas,N,"L, 67-60",96.7,102,62.2,96.4,47.6,11.2,29.7,8.1,107.6,50.9,17.7,32.1,27.3,35.2,2
19,19,1/14/23,C,Western Illinois,Sum,UMKC,A,"W, 60-52",94.6,91.6,61.9,97,45,22.6,39.4,44,84.1,33.6,16.2,41.3,13.4,59,5
20,20,1/5/23,C,Western Illinois,Sum,Nebraska Omaha,H,"L, 78-74",94.5,128.6,68.1,108.7,41.1,8.8,25,57.1,114.6,59.8,19.1,22.2,45.1,2.8,-11
21,21,1/21/23,C,Western Illinois,Sum,St. Thomas,H,"W, 60-56",94.3,96,59.4,101,48.9,21.9,34.6,37,94.3,41.8,15.2,25.7,21.8,45,-1
22,22,2/18/23,C,Western Illinois,Sum,St. Thomas,A,"L, 82-69",94,106.1,73.5,93.9,41.5,15,35.4,21.1,111.6,56.5,21.8,23.3,46.3,19.9,-5
23,23,1/12/23,C,Western Illinois,Sum,Oral Roberts,A,"L, 87-63",93.6,110.6,71,88.8,43,16.9,26.2,18.8,122.6,55,5.6,21.6,15.7,12.8,-13
24,24,11/26/22,N,Western Illinois,Sum,Youngstown St.,H,"L, 88-64",89.9,114.8,70.6,90.7,48.1,22.7,25.7,37,124.7,57.6,14.2,38.2,24.2,5.7,-7
25,25,12/31/22,C,Western Illinois,Sum,South Dakota,A,"L, 80-63",87.5,115.7,68.7,91.7,41.7,20.4,29.4,46.3,116.4,60.7,16,24.1,28.6,3.9,-8
26,26,11/14/22,N,Western Illinois,Sum,UCF,A,"L, 70-37",68.3,97.6,64.2,57.6,29.6,28,31,20.4,108.9,52.5,12.5,28.1,14.8,1.6,-13
27,27,2/2/23,C,Western Illinois,Sum,Denver,A,"L, 74-44",68.1,111.2,66.2,66.5,28.8,15.1,25,32.2,111.8,60.2,16.6,24.1,11.9,0.4,-13
