#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/9/23,C,Western Kentucky,CUSA,Middle Tennessee,H,"W, 93-89",135.2,121.7,71.2,130.6,60,16.9,34.6,52.7,125,63.5,19.7,40.6,22.2,77,8
2,2,1/11/23,C,Western Kentucky,CUSA,UAB,A,"W, 80-78",117.3,99.2,72.7,110.1,55.9,13.8,14.7,32.2,107.3,50,19.3,37.5,46.7,87.3,0
3,3,2/23/23,C,Western Kentucky,CUSA,Louisiana Tech,H,"W, 76-66",116.2,100.3,65.2,116.6,58.2,18.4,30.3,32.7,101.2,53.4,19.9,29.4,10.2,84.4,9
4,4,1/21/23,C,Western Kentucky,CUSA,Charlotte,H,"L, 75-71",115.1,123.1,61.1,116.2,47.4,4.9,22.9,32.8,122.7,63.5,13.1,24,25,31.8,-5
5,5,11/22/22,N,Western Kentucky,CUSA,Illinois St.,N,"W, 78-66",114,108.8,64.5,120.9,60.8,17,29,45.1,102.3,47.3,17,24.2,27.3,63.3,5
6,6,11/26/22,N,Western Kentucky,CUSA,South Carolina St.,H,"W, 90-64",112.4,96.9,71.5,125.9,61.2,18.2,41.2,50,89.5,43.3,9.8,18.2,19.4,84.6,15
7,7,12/14/22,N,Western Kentucky,CUSA,Louisville,A,"L, 94-83",111.4,134.7,71.4,116.3,53.6,18.2,45,15.7,131.7,65.8,18.2,26.9,35.1,10.2,-7
8,8,3/2/23,C,Western Kentucky,CUSA,UTEP,A,"W, 73-68",111.2,102.2,69.2,105.4,62.2,24.6,32,44.9,98.2,55.8,27.4,29.4,36.5,72.4,3
9,9,11/30/22,N,Western Kentucky,CUSA,Austin Peay,A,"W, 75-74",110.9,118.2,65.9,113.7,57.4,13.6,21.4,31.5,112.2,58.6,24.3,36.7,13.8,32.5,4
10,10,2/4/23,C,Western Kentucky,CUSA,UTEP,H,"W, 74-69",110.8,110.5,67.7,109.3,51.9,19.2,30.3,47.2,101.9,48.3,16.3,29.3,33.9,50.6,0
11,11,1/5/23,C,Western Kentucky,CUSA,North Texas,H,"L, 70-66",110.5,116,61.4,107.4,41.8,9.8,21.9,61.2,114,51.8,21.2,44.1,29.1,36.2,-10
12,12,3/8/23,CT,Western Kentucky,CUSA,UTEP,N,"W, 73-67",109.1,108.2,67.5,108.1,49.1,14.8,27.8,55.6,99.3,47,19.3,41.9,14.9,52.4,-4
13,13,1/19/23,C,Western Kentucky,CUSA,Louisiana Tech,A,"L, 85-74",107.2,113.4,63.8,103.1,50,15.3,23.7,22.2,118.5,61.2,16.7,29.4,9,34.2,-1
14,14,11/23/22,N,Western Kentucky,CUSA,Tulane,N,"W, 71-65",106.7,96.5,66.1,107.4,58.7,24.2,33.3,26.9,98.3,47.2,16.6,22.6,29.6,76.1,-1
