#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/14/23,C,Western Michigan,MAC,Bowling Green,H,"W, 108-92",131.9,138.4,71.9,150.2,62.9,5.6,39.4,45.5,128,67.5,13.9,21.4,30,36.5,-3
2,2,12/30/22,N,Western Michigan,MAC,Wisconsin,A,"L, 76-66",126.1,131.6,57.3,115.2,56.1,12.2,30,8.8,132.7,63,7,23.3,24.1,38.1,-9
3,3,11/19/22,N,Western Michigan,MAC,Rice,A,"L, 96-88",121.8,127.4,71.3,123.5,64.2,22.5,42.9,23.3,134.7,62.9,8.4,23.5,40.3,37.4,3
4,4,1/24/23,C,Western Michigan,MAC,Ohio,A,"L, 88-76",117.6,124.4,65.2,116.6,54.6,12.3,27,50,135,56.8,7.7,37.8,27.3,34.5,-4
5,5,3/3/23,C,Western Michigan,MAC,Central Michigan,H,"W, 81-65",112.8,119.1,65.7,123.4,56.1,12.2,36.8,15.2,99,50,15.2,6.5,36,34.7,2
6,6,1/3/23,C,Western Michigan,MAC,Kent St.,A,"L, 80-72",110.2,111.2,70,102.9,56.9,22.9,22.2,33.3,114.3,50,17.1,28.6,43.9,47.4,-8
7,7,1/28/23,C,Western Michigan,MAC,Central Michigan,A,"L, 70-69",109.7,120,63.2,109.1,51,23.7,42.9,49,110.7,51.7,17.4,38.9,27.1,26.3,8
8,8,2/7/23,C,Western Michigan,MAC,Miami OH,A,"L, 85-78",109.4,128.4,67.2,116,57.3,16.4,33.3,19.4,126.4,52.7,10.4,32.3,51.8,13.7,-6
9,9,12/18/22,N,Western Michigan,MAC,Iowa St.,A,"L, 73-57",106.9,118.3,59.6,95.7,51,26.9,33.3,9.6,122.5,70.4,18.5,20,16.3,23.7,-14
10,10,2/18/23,C,Western Michigan,MAC,Ball St.,H,"W, 78-68",106.8,95.2,70.2,111.1,51.7,15.7,27.8,39,96.8,43.4,19.9,34.1,29.5,79,6
11,11,11/18/22,N,Western Michigan,MAC,Houston Christian,A,"W, 90-84",104.9,118.5,74,121.7,64.8,24.3,32,40.7,113.6,60.2,16.2,21.2,33.9,19.8,-1
12,12,2/4/23,C,Western Michigan,MAC,Buffalo,H,"L, 85-76",104,122,71.4,106.4,52.4,18.2,27,25.8,119,56.9,18.2,43.8,48.3,13.7,-6
13,13,2/25/23,C,Western Michigan,MAC,Akron,A,"L, 81-64",103.1,116.3,64.9,98.6,47.5,18.5,25,16.9,124.7,64.5,7.7,14.8,27.3,20,-8
14,14,1/10/23,C,Western Michigan,MAC,Eastern Michigan,H,"W, 85-79",102.5,107.6,76.1,111.7,51.6,15.8,34.2,49.2,103.8,51.7,22.3,24.1,36.2,36.6,6
15,15,1/6/23,C,Western Michigan,MAC,Toledo,A,"L, 102-74",102.5,121.1,71.3,103.7,45.2,15.4,34.1,37.1,143,62.7,11.2,33.3,46,12.8,-13
16,16,1/17/23,C,Western Michigan,MAC,Ball St.,A,"L, 71-70",98.1,98.4,69.8,100.3,46.5,21.5,31.4,29.8,101.8,49.2,15.8,25.6,37.3,49.4,-2
17,17,2/21/23,C,Western Michigan,MAC,Eastern Michigan,A,"L, 66-59",93.6,106.2,61.2,96.4,46.6,18,33.3,15.5,107.9,48.1,13.1,25,32.7,19.1,2
18,18,2/28/23,C,Western Michigan,MAC,Miami OH,H,"L, 77-62",92.8,125.4,62.8,98.7,43.3,17.5,37.5,23.3,122.6,58,14.3,25,46,3,-8
19,19,11/20/22,N,Western Michigan,MAC,Georgia Southern,N,"L, 63-57",91.5,107.4,62.5,91.3,44.1,20.8,24.2,29.4,100.9,46.8,11.2,27.5,12.9,13.6,-7
20,20,11/7/22,N,Western Michigan,MAC,Minnesota,A,"L, 61-60",90.6,100.5,63.9,93.9,40.6,15.6,37.8,5.8,95.4,51,25,37.8,45.1,23.1,-6
21,21,11/13/22,N,Western Michigan,MAC,Valparaiso,A,"L, 81-65",89.3,114.6,73.4,88.6,39.5,16.3,30.2,43.5,110.4,54.8,10.9,19.4,33.9,5.4,-7
22,22,1/21/23,C,Western Michigan,MAC,Akron,H,"L, 63-55",87.9,93.2,64.2,85.7,42.7,23.4,33.3,21.8,98.1,42.9,4.7,16.7,19,33.8,-2
23,23,2/14/23,C,Western Michigan,MAC,Kent St.,H,"L, 82-58",87.4,119.7,68.6,84.5,50,29.2,21.9,30.6,119.5,54.7,17.5,47.1,26.6,2.6,-18
24,24,11/30/22,N,Western Michigan,MAC,Dayton,A,"L, 67-47",85.9,104.6,59.7,78.7,35.8,18.4,28.2,26.4,112.3,51.1,16.8,36,70.5,9.5,-11
25,25,2/11/23,C,Western Michigan,MAC,Northern Illinois,A,"L, 81-53",85.6,116.1,67.3,78.7,38,17.8,20,35.2,120.3,60.7,16.3,33.3,23,2.9,-6
26,26,1/31/23,C,Western Michigan,MAC,Northern Illinois,H,"L, 73-59",83.3,117.9,66.7,88.4,32.8,19.5,47.9,28.4,109.4,50.9,15,27.8,38.6,1.8,-12
27,27,11/26/22,N,Western Michigan,MAC,Cleveland St.,H,"L, 71-49",77.6,120.1,61,80.3,41.2,24.6,33.3,27.5,116.4,56.9,18,33.3,8.6,0.6,-16
28,28,12/10/22,N,Western Michigan,MAC,Illinois Chicago,H,"L, 62-56",76.8,106.2,66,84.8,43.4,31.8,48.6,6.6,93.9,46.4,10.6,8.3,27.3,2.4,-11
