#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/26/22,N,Wichita St.,Amer,Tarleton St.,H,"W, 83-71",129.6,108.3,66.2,125.4,59,18.1,41.7,58,107.3,41.2,7.6,33.3,26.5,88.8,9
2,2,1/19/23,C,Wichita St.,Amer,Memphis,A,"L, 88-78",126.9,112.9,69.2,112.8,52.7,18.8,31.2,42.9,127.2,63.4,17.4,39.3,41.1,79.2,-3
3,3,3/2/23,C,Wichita St.,Amer,Houston,A,"L, 83-66",126.1,106.3,65.2,101.2,73,30.7,16.7,56.8,127.3,55.3,15.3,35.5,38.6,87.7,-3
4,4,1/29/23,C,Wichita St.,Amer,East Carolina,A,"W, 85-72",124.5,95.3,72.8,116.8,55.3,16.5,31,47.4,99,45.5,17.9,31,17.9,95.6,16
5,5,2/23/23,C,Wichita St.,Amer,Memphis,H,"L, 83-78",124.2,110.6,68.6,113.7,52.2,10.2,32.4,17.9,121,63.2,20.4,29.6,41.5,79.1,-1
6,6,2/2/23,C,Wichita St.,Amer,Houston,H,"L, 70-61",120.9,98.3,61,100,41.7,19.7,39.5,42.6,114.7,50.9,9.8,29,26.8,91.6,2
7,7,2/26/23,C,Wichita St.,Amer,Tulane,A,"W, 83-76",119.9,95.8,73,113.7,63.3,20.5,16,59.2,104.1,57.3,13.7,11.4,14.5,92.9,8
8,8,2/16/23,C,Wichita St.,Amer,Temple,A,"W, 79-65",118.7,97.2,67.1,117.8,55.2,17.9,37.5,32.8,96.9,50,14.9,16.7,26.8,90.9,2
9,9,1/25/23,C,Wichita St.,Amer,Tulane,H,"L, 95-90",115.6,110.5,71.8,111.5,54.2,17.3,33.3,22.2,117.7,57.5,9.9,13.5,37.3,62.7,6
10,10,12/10/22,N,Wichita St.,Amer,Longwood,H,"W, 81-63",115.5,97,68.4,118.4,59.2,14.6,24.1,20,92.1,43,16.1,31.7,20.3,88.3,7
11,11,2/5/23,C,Wichita St.,Amer,Tulsa,A,"W, 86-75",114,98.9,75.6,113.8,56.6,13.2,28.9,22.1,99.3,52.5,17.2,13.5,35.6,83.6,14
12,12,3/9/23,CT,Wichita St.,Amer,Tulsa,N,"W, 81-63",112.6,100.7,67.4,120.2,62.1,16.3,23.1,19,93.5,50,16.3,17.1,29.6,78.4,8
13,13,12/31/22,C,Wichita St.,Amer,East Carolina,H,"L, 79-69",108.6,123.1,65.1,106,50,16.9,37.1,15.9,121.4,53.6,13.8,39.3,39.3,19.1,-2
14,14,2/8/23,C,Wichita St.,Amer,UCF,H,"L, 72-67",107.6,99.9,67.8,98.8,55.3,26.5,26.9,42.6,106.2,47.6,19.2,36.6,23.8,70.1,3
15,15,2/12/23,C,Wichita St.,Amer,SMU,H,"W, 91-89",107.4,106.7,68.2,106.7,61.5,29.3,35.5,36.1,104.4,50.6,14.1,31.1,21.5,51.6,1
16,16,3/10/23,CT,Wichita St.,Amer,Tulane,N,"L, 82-76",105.7,107.7,73,104.1,43.2,9.6,32,26,112.3,54.1,15.1,25.7,34.4,44.6,-5
17,17,11/29/22,N,Wichita St.,Amer,Missouri,H,"L, 88-84",103.8,96.3,71.8,103.9,63.9,24.7,21.9,23,108.9,46.8,9.9,30.6,26.9,70.3,0
18,18,3/5/23,C,Wichita St.,Amer,South Florida,H,"W, 69-49",101.3,78.6,65.5,105.3,56.2,22.9,32.1,12.5,74.8,37.1,18.3,23.8,20.7,94.9,7
19,19,1/22/23,C,Wichita St.,Amer,SMU,A,"W, 71-69",98.5,92.6,74.3,95.6,48,21.5,23.3,65.3,92.9,44.2,21.5,30,40,67,1
20,20,1/8/23,C,Wichita St.,Amer,South Florida,A,"W, 70-66",97.3,91.9,71.8,97.5,45.4,15.3,27.5,26.2,91.9,40.3,18.1,40.9,26.9,65.9,-3
21,21,11/7/22,N,Wichita St.,Amer,Central Arkansas,H,"W, 79-55",96.5,78.9,75.1,105.2,48.4,13.3,29.7,39.1,73.3,32.9,18.6,30.8,12.3,91.1,15
22,22,11/17/22,N,Wichita St.,Amer,Richmond,A,"W, 56-53",96.4,84.7,61.4,91.1,45.8,21.2,29,37.5,86.3,45.3,21.2,20.6,13.2,81.7,5
23,23,1/14/23,C,Wichita St.,Amer,Tulsa,H,"W, 73-69",95.4,109.7,69.6,104.9,47.2,17.2,26.7,49.1,99.2,55.2,23,26.7,13.8,16.6,-7
24,24,11/22/22,N,Wichita St.,Amer,San Francisco,N,"L, 67-63",92.9,99.2,66.7,94.5,40.8,15,33.3,21.5,100.5,50,18,22.2,25,32,-8
25,25,12/3/22,N,Wichita St.,Amer,Kansas St.,A,"L, 55-50",92.3,77.3,63.6,78.6,42.9,25.2,23.5,26.5,86.5,39.6,12.6,18.9,39.6,88.4,2
26,26,12/13/22,N,Wichita St.,Amer,Mississippi Valley S,H,"W, 71-48",91.9,76,71.6,99.1,46.4,4.2,19.5,15.7,67,39.6,32.1,21.2,39.6,89.9,15
27,27,1/5/23,C,Wichita St.,Amer,Cincinnati,H,"L, 70-61",91.8,101.6,67.2,90.7,37.3,3,28.3,25.4,104.1,50.8,19.3,34.5,4.5,23.7,-11
28,28,12/28/22,C,Wichita St.,Amer,UCF,A,"L, 52-45",91.7,91.4,53.5,84.2,43.8,28.1,25.9,32.5,97.3,40.6,16.8,41.2,18.9,51,-4
29,29,12/22/22,N,Wichita St.,Amer,Texas Southern,H,"W, 65-56",91.5,85.8,70.6,92.1,46.4,19.8,24.2,32.1,79.3,35.3,15.6,30.6,20.6,67.7,7
30,30,11/21/22,N,Wichita St.,Amer,Grand Canyon,N,"W, 55-43",91.4,69,58.6,93.9,43.3,20.5,42.1,6.7,73.4,30.5,20.5,38.1,15.3,96.2,7
31,31,11/12/22,N,Wichita St.,Amer,Alcorn St.,H,"L, 66-57",89.3,108.3,62.4,91.3,44.4,19.2,28.6,25.9,105.7,51.8,17.6,29,20,9.8,-2
32,32,12/17/22,N,Wichita St.,Amer,Oklahoma St.,N,"L, 59-49",85.3,91.4,63.6,77,37.5,17.3,15.2,28.8,92.7,49,22,24.1,31.2,31,-8
