#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/26/23,C,William & Mary,CAA,Stony Brook,H,"W, 77-74",127.1,131.8,59.3,129.9,71.3,16.9,26.1,36.2,124.8,60.4,15.2,25.9,41.7,39.7,10
2,2,1/28/23,C,William & Mary,CAA,Towson,A,"L, 92-73",117.2,128.6,66,110.6,60.4,21.2,25,24.5,139.4,59.2,9.1,46.9,11.3,25.6,-5
3,3,11/13/22,N,William & Mary,CAA,Virginia Tech,A,"L, 94-77",117.1,138.1,64.2,119.9,59.5,18.7,34.5,20.7,146.4,69.5,10.9,34.6,20.3,13.1,-19
4,4,1/11/23,C,William & Mary,CAA,Hampton,H,"W, 81-65",112.9,114.2,63,128.5,66.3,23.8,47.8,58.7,103.1,50.8,12.7,25,15,46.6,7
5,5,2/13/23,C,William & Mary,CAA,Towson,H,"W, 68-66",111.4,107.4,60.3,112.7,53.8,16.6,28.1,32.7,109.4,48.2,16.6,43.8,32.7,60.4,1
6,6,3/4/23,CT,William & Mary,CAA,Elon,N,"W, 73-51",109,94.2,60.9,119.8,52.6,13.1,36.1,29.8,83.7,42.7,18.1,25,18.2,84.3,7
7,7,1/14/23,C,William & Mary,CAA,UNC Wilmington,A,"W, 69-67",108.6,101.4,66.9,103.2,44.6,13.5,27.8,50,100.2,44.4,16.4,29.4,91.1,68.7,2
8,8,12/7/22,N,William & Mary,CAA,Old Dominion,A,"L, 72-62",106.1,113.1,62.3,99.5,49.1,20.9,38.9,19,115.6,52.9,16.1,36.7,51,32.4,0
9,9,2/4/23,C,William & Mary,CAA,UNC Wilmington,H,"L, 70-63",105.9,125.6,59.4,106.1,56.8,25.3,31.8,36.4,117.9,57,15.2,29.2,30,12.3,-7
10,10,11/25/22,N,William & Mary,CAA,Pittsburgh,A,"L, 80-64",104.2,105.8,65.8,97.3,45.8,16.7,30.2,30,121.6,52.4,15.2,42.1,30.6,45.7,-3
11,11,11/19/22,N,William & Mary,CAA,Army,H,"W, 76-67",102.5,103.7,68.8,110.5,42.9,13.1,35,69.6,97.5,51,18.9,21.2,40.4,46.7,1
12,12,2/23/23,C,William & Mary,CAA,Elon,H,"W, 73-60",100.8,99,66.7,109.5,53.6,18,27.3,30.9,90,50,25.5,25,21.2,55.3,5
