#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/12/23,C,Wofford,SC,UNC Greensboro,A,"L, 97-89",128,123,68.5,115.5,58.6,14.3,27,39.1,125.9,52.1,13,40.5,42.9,61.2,-1
2,2,11/14/22,N,Wofford,SC,Drake,A,"L, 80-72",124.2,116,64,112.6,57.3,18.8,24.1,20,125.1,54.6,4.7,32.4,18.5,68.7,-4
3,3,3/4/23,CT,Wofford,SC,UNC Greensboro,N,"W, 67-66",122,114.7,58.5,114.6,48.4,6.8,32.4,16.1,112.9,55.9,13.7,25.9,25.5,67.1,-1
4,4,2/25/23,C,Wofford,SC,Chattanooga,H,"W, 86-74",121.2,115.3,65.6,131,59.2,18.3,50,28.3,112.8,54,13.7,30.6,21,63.9,1
5,5,1/25/23,C,Wofford,SC,Chattanooga,A,"W, 85-80",120.8,110.5,69.3,122.7,57.3,14.4,30.3,24.2,115.5,53.4,18.8,37.1,41.4,73.7,3
6,6,1/22/23,C,Wofford,SC,Furman,H,"L, 96-82",118.9,122.8,70.4,116.4,55.6,8.5,19.4,27,136.3,58.9,11.4,36.1,46.8,40.8,-2
7,7,1/28/23,C,Wofford,SC,Samford,H,"W, 85-77",118.3,105.1,70.8,120.1,64.4,16.9,18.2,75.6,108.8,46.9,11.3,30.6,33.8,79.7,7
8,8,11/20/22,N,Wofford,SC,North Carolina A&T,H,"W, 78-64",117.5,111.3,62.1,125.6,63.5,11.3,23.1,36.5,103,46.7,8,25,18,65.2,10
9,9,2/15/23,C,Wofford,SC,Mercer,H,"W, 70-67",115.3,120.9,60.3,116.2,60,14.9,17.4,48.9,111.2,53,19.9,37,34,36.7,0
10,10,12/20/22,N,Wofford,SC,Texas A&M,A,"W, 67-62",114.9,90.9,63.2,106,47.6,12.7,31.4,11.1,98.1,53,20.6,21.9,30,93.7,-3
11,11,11/27/22,N,Wofford,SC,LSU,A,"L, 78-75",114.5,113.4,66.7,112.5,57.8,19.5,30,15.5,117,60.4,16.5,19.2,32.1,52.9,-1
12,12,1/14/23,C,Wofford,SC,VMI,H,"W, 86-67",113.7,120.6,63.6,135.2,62.7,12.6,33.3,34.5,105.3,51.8,22,40,19.6,33.7,4
13,13,1/18/23,C,Wofford,SC,Western Carolina,A,"L, 76-71",112.2,118.4,63.6,111.6,53.4,17.3,35.1,22,119.4,60.4,14.1,21.4,32.1,34.9,2
14,14,12/29/22,C,Wofford,SC,East Tennessee St.,H,"L, 73-71",110.5,121.8,62.6,113.5,42.7,6.4,33.3,33.9,116.7,54.2,19.2,44.1,22,24.6,1
15,15,2/18/23,C,Wofford,SC,The Citadel,A,"W, 72-68",108.1,115.8,62.7,114.8,52.5,14.4,36.4,18.3,108.5,63.8,25.5,24,27.7,31.3,2
16,16,11/12/22,N,Wofford,SC,High Point,A,"L, 91-80",104.5,133.9,71.5,111.8,46,12.6,37.8,54,127.2,62.9,19.6,39.3,39.7,5.4,-10
17,17,12/1/22,N,Wofford,SC,Presbyterian,H,"W, 76-63",104.4,109.6,67,113.4,61,19.4,19,32,94,63,26.9,9.5,6,36.5,4
18,18,2/8/23,C,Wofford,SC,Western Carolina,H,"L, 95-91",104,112.9,68.5,106.2,53.6,16.3,22.2,30,110.9,49.3,12.8,29.8,34.2,28,5
19,19,2/22/23,C,Wofford,SC,VMI,A,"L, 87-83",101.2,123.2,66.1,111.6,59.8,21.5,26.7,41.1,117,55.1,16.1,32.3,45.8,9.4,-1
20,20,2/4/23,C,Wofford,SC,Furman,A,"L, 80-67",99.5,113.6,65.7,102,57,22.8,20.7,34,121.8,54.5,9.1,33.3,13.6,17.9,-13
21,21,1/7/23,C,Wofford,SC,The Citadel,H,"W, 77-57",96.3,88.3,72.2,106.6,61.2,20.8,18.8,20.7,78.9,41.8,19.4,18.4,13.1,72.9,9
22,22,12/31/22,C,Wofford,SC,UNC Greensboro,H,"L, 73-64",95.6,106.6,70.4,91,45.6,24.2,30.6,26.3,103.7,49.2,14.2,21.1,26.2,22.2,-6
23,23,1/4/23,C,Wofford,SC,Mercer,A,"W, 53-52",93.9,95.1,57.7,91.9,41.1,13.9,28.6,16.1,90.1,43.6,22.5,33.3,31.9,46.3,-1
24,24,12/10/22,N,Wofford,SC,Georgia Southern,A,"L, 79-57",93.8,123.2,64.8,87.9,47.9,27.8,37.5,51.1,121.9,67.3,20.1,22.7,21.2,4.2,-11
25,25,2/1/23,C,Wofford,SC,East Tennessee St.,A,"L, 77-52",92.6,136.2,57,91.2,45.4,12.3,24.3,18.5,135.1,70.2,14,28,17.3,1.2,-12
26,26,1/11/23,C,Wofford,SC,Samford,A,"L, 83-58",92.1,118.2,65.2,88.9,49,23,17.2,28.6,127.2,66.7,13.8,24.1,10,5.4,-11
27,27,3/5/23,CT,Wofford,SC,Chattanooga,N,"L, 74-62",92,107.1,66.3,93.5,41.1,16.6,33.3,22.6,111.6,59.4,16.6,16,47.9,14.7,-5
28,28,11/18/22,N,Wofford,SC,Gardner Webb,H,"W, 60-58",91.5,97.6,65.3,91.9,30.7,7.7,29,54.4,88.8,52,26,32,11.8,32.2,-4
29,29,12/3/22,N,Wofford,SC,Vanderbilt,A,"L, 65-62",89.6,85.5,69,89.9,48.2,21.7,22.9,21.4,94.2,56.6,21.7,10.3,17,63.2,-4
30,30,12/6/22,N,Wofford,SC,Coastal Carolina,H,"W, 71-61",88.7,95.6,68.8,103.2,49.2,18.9,32.4,19.4,88.7,42.4,14.5,28.2,9.1,29.9,-3
