#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/12/23,C,Wright St.,Horz,Green Bay,A,"W, 99-67",133.2,121.1,66,149.9,75.4,13.6,47.4,33.3,101.5,53.8,19.7,24.2,36.5,74.8,11
2,2,2/10/23,C,Wright St.,Horz,Northern Kentucky,H,"W, 83-65",126.7,107.8,64.2,129.2,66.4,15.6,28,25.5,101.2,45.5,15.6,36.4,12.1,86.5,6
3,3,11/23/22,N,Wright St.,Horz,Weber St.,N,"W, 87-65",126.4,99,70.2,123.9,71.9,19.9,15,10.5,92.6,41.7,14.2,19.5,26.7,94.3,11
4,4,2/8/23,C,Wright St.,Horz,IUPUI,H,"W, 103-71",124.9,111,71.3,144.5,62.9,9.8,41.4,48.4,99.6,50,18.2,26.3,46.4,79.6,18
5,5,2/4/23,C,Wright St.,Horz,Robert Morris,A,"W, 82-67",117.8,107.4,68.4,119.9,53.7,14.6,41.2,17.9,97.9,44.8,13.2,32.6,22.4,74.2,3
6,6,12/22/22,N,Wright St.,Horz,Miami OH,A,"W, 88-80",116.8,111.6,72,122.3,60.5,16.7,30,24.2,111.2,59.8,22.2,29,13.1,62.8,5
7,7,2/25/23,C,Wright St.,Horz,Detroit,A,"W, 82-71",113.8,100.7,66.7,122.9,62.7,15,16,43.1,106.4,43.4,12,39.6,27.9,80.4,6
8,8,11/9/22,N,Wright St.,Horz,Davidson,H,"L, 102-97",108.6,107.4,72.9,106.5,48.9,13.2,32.7,17,111.9,59.7,18.7,23.7,53.7,53.2,6
9,9,1/26/23,C,Wright St.,Horz,Milwaukee,H,"W, 93-86",105.4,97.4,87.9,105.8,52.3,23.9,32.5,52.3,97.8,50.8,21.6,28.6,47.7,71.1,12
10,10,1/6/23,C,Wright St.,Horz,Detroit,H,"W, 90-85",104.4,111.3,76,118.4,51.4,10.5,32.5,37.7,111.8,50.7,10.5,28.9,18.9,32.4,-5
11,11,1/2/23,C,Wright St.,Horz,IUPUI,A,"W, 82-68",102.8,102.9,71.2,115.2,56.2,18.3,32.4,18.8,95.6,49.1,21.1,23.3,29.1,49.7,8
12,12,2/28/23,CT,Wright St.,Horz,Green Bay,H,"W, 77-57",102.5,105.4,65.4,117.7,59.8,19.9,33.3,21.4,87.1,43.6,9.2,5.7,23.6,42,7
13,13,12/4/22,C,Wright St.,Horz,Youngstown St.,H,"L, 88-77",101.3,110.9,73.8,104.3,47.2,14.9,35,18.3,119.2,63,19,20,40.7,26.1,-1
14,14,1/8/23,C,Wright St.,Horz,Oakland,H,"L, 75-73",100.4,113.2,67.8,107.6,51.5,19.2,41,13.4,110.6,56.5,11.8,16.7,8.1,20,1
15,15,1/21/23,C,Wright St.,Horz,Cleveland St.,H,"L, 85-77",100.1,120.8,73.6,104.6,53.8,23.1,20.7,44.2,115.5,64.2,19,27.6,56.6,10.3,-11
16,16,2/17/23,C,Wright St.,Horz,Cleveland St.,A,"L, 85-68",99.1,113.3,72.1,94.3,49.2,18,23.7,17.7,117.9,56.1,20.8,47.2,28.8,17.6,-5
17,17,12/29/22,C,Wright St.,Horz,Northern Kentucky,A,"L, 78-64",99.1,119.4,66.1,96.9,47.4,19.7,29.4,20.7,118,59.1,18.2,37.5,40,10.5,-10
18,18,11/21/22,N,Wright St.,Horz,Abilene Christian,N,"W, 77-61",98.9,79,76.4,100.8,65,23.6,4.2,38,79.9,49.1,30.1,25,17.2,93,10
19,19,2/19/23,C,Wright St.,Horz,Fort Wayne,A,"L, 77-75",98.9,110.3,73.8,101.7,60.5,24.4,18.5,10.5,104.4,49.3,13.6,29.3,20,22.2,-5
20,20,1/28/23,C,Wright St.,Horz,Green Bay,H,"W, 77-46",98.7,78.5,69.3,111.1,58.3,17.3,17.9,33.3,66.3,36.1,21.6,15.9,27.8,93.3,17
21,21,11/15/22,N,Wright St.,Horz,Bowling Green,H,"W, 80-71",94.9,95.3,77.1,103.8,55.8,19.5,22.6,30,92.1,42.8,16.9,27.3,23.2,48.7,4
22,22,1/19/23,C,Wright St.,Horz,Fort Wayne,H,"L, 88-80",94.1,119.9,80,100,52.3,21.3,21.1,28.1,110,56.3,12.5,16.2,38.1,5.9,-10
23,23,2/23/23,C,Wright St.,Horz,Oakland,A,"L, 75-68",93,101.1,72.1,94.4,46.9,9.7,13.2,15.4,104.1,43.5,9.7,25.7,41.9,27.6,3
24,24,3/2/23,CT,Wright St.,Horz,Milwaukee,A,"L, 87-70",92.8,124.9,72.1,97.1,44.1,11.1,24.4,23.5,120.6,56.7,16.6,41.2,20.9,3.2,-15
25,25,1/14/23,C,Wright St.,Horz,Milwaukee,A,"W, 78-74",91.9,88,74.9,92.5,47.8,22.5,25.6,20.3,87.8,38.8,21.3,39.2,27.6,62.1,4
26,26,11/22/22,N,Wright St.,Horz,UC Riverside,N,"L, 70-65",91.8,95.4,71.2,91.3,48.3,14,15.2,24.1,98.3,55,19.7,15.6,13.3,39.1,-1
27,27,12/1/22,C,Wright St.,Horz,Robert Morris,H,"L, 80-59",90.7,122.9,67.7,87.1,47.2,17.7,12.5,24.5,118.1,59.8,11.8,20.8,14.8,2.9,-6
28,28,2/2/23,C,Wright St.,Horz,Youngstown St.,A,"L, 91-89",90.7,88.1,69.5,93.1,46.6,11.5,20.4,13.8,95.2,43,12.6,21.8,27.9,58.5,1
29,29,11/12/22,N,Wright St.,Horz,Louisville,A,"W, 73-72",90.3,96.2,77,94.8,51.5,16.9,18.4,16.9,93.5,55.1,24.7,13.8,13.6,32.4,-2
30,30,12/10/22,N,Wright St.,Horz,Western Kentucky,A,"L, 64-60",85.3,89.1,71.3,84.2,42.5,19.6,30,6,89.8,46.6,18.2,20.6,23.7,37.7,-2
31,31,12/14/22,N,Wright St.,Horz,Akron,A,"L, 66-54",80.9,88.3,69.7,77.4,38.9,20.1,26.2,12.7,94.7,45.2,17.2,28.2,22.6,26.9,-5
