#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/7/23,C,Youngstown St.,Horz,IUPUI,H,"W, 105-74",129.1,115.3,70.8,148.2,73.4,12.7,34.6,18.8,104.5,54.5,26.8,39.4,37.5,78.6,19
2,2,12/29/22,C,Youngstown St.,Horz,Cleveland St.,H,"W, 85-71",128.7,116.2,63.8,133.2,64.2,14.1,32,39.6,111.3,56.5,17.2,30.8,25.9,76.5,4
3,3,2/4/23,C,Youngstown St.,Horz,Northern Kentucky,H,"W, 74-56",123.5,102.7,58.5,126.6,65.7,17.1,34.8,19.6,95.8,37.3,10.3,30,22,89.3,6
4,4,1/12/23,C,Youngstown St.,Horz,Detroit,A,"W, 84-79",118.8,111.7,66.2,126.9,62.5,9.1,21.2,23.3,119.4,52.2,7.6,32.4,17.9,66.9,4
5,5,12/21/22,N,Youngstown St.,Horz,Central Michigan,A,"W, 76-65",116.6,112.8,64,118.8,61.3,21.9,34.8,20.8,101.6,58,25,26.9,20,59.6,7
6,6,2/25/23,C,Youngstown St.,Horz,IUPUI,A,"W, 93-79",116.6,124,69.9,133,64.4,8.6,29.2,37.3,112.9,57,17.2,34.8,38.6,33.1,5
7,7,12/4/22,C,Youngstown St.,Horz,Wright St.,A,"W, 88-77",116,107,73.8,119.2,63,19,20,40.7,104.3,47.2,14.9,35,18.3,71.8,1
8,8,11/13/22,N,Youngstown St.,Horz,Notre Dame,A,"L, 88-81",114.9,119.6,69.9,115.8,56.2,12.9,24.2,15.4,125.8,67.3,20,30.4,27.3,38.6,-4
9,9,11/7/22,N,Youngstown St.,Horz,Canisius,A,"W, 92-81",114.8,99.9,80.3,114.5,61.9,24.9,41.9,23.9,100.8,48.6,12.4,18.6,24.6,83.2,11
10,10,1/5/23,C,Youngstown St.,Horz,Robert Morris,H,"W, 78-56",114.7,103.4,63.4,123.1,57.5,7.9,20.7,41.5,88.3,49,23.7,20.7,13.5,76.9,3
11,11,2/10/23,C,Youngstown St.,Horz,Fort Wayne,A,"W, 81-72",113.8,105.2,70.8,114.4,56.9,8.5,10,32.8,101.7,48.4,11.3,15.4,25.8,71,5
12,12,11/26/22,N,Youngstown St.,Horz,Western Illinois,A,"W, 88-64",113.5,97.7,70.6,124.7,57.6,14.2,38.2,24.2,90.7,48.1,22.7,25.7,37,84.9,7
13,13,1/27/23,C,Youngstown St.,Horz,Oakland,H,"W, 77-73",113.3,119.7,62.9,122.4,61.3,17.5,33.3,28.3,116,64,17.5,12.5,24,34.7,3
14,14,11/9/22,N,Youngstown St.,Horz,Tennessee Martin,H,"W, 90-72",112.8,103.9,73.7,122.1,50.7,12.2,38.6,32.4,97.7,50.8,20.3,29.7,33.3,71.9,8
15,15,2/16/23,C,Youngstown St.,Horz,Milwaukee,H,"W, 87-58",112.5,87.3,72.1,120.7,50.7,9.7,35,23.3,80.5,43.5,23.6,25.7,31.5,94.9,12
16,16,1/19/23,C,Youngstown St.,Horz,Green Bay,A,"W, 86-70",111.9,110.4,71.3,120.7,49.1,8.4,32.3,60.3,98.2,55,22.4,17.2,46,53.7,11
17,17,2/12/23,C,Youngstown St.,Horz,Cleveland St.,A,"L, 81-78",111,109.8,72.2,108.1,47.2,12.5,35.6,22.2,112.2,51.7,16.6,36.1,53.4,53.1,0
18,18,2/18/23,C,Youngstown St.,Horz,Green Bay,H,"W, 95-65",110.7,113,72.6,130.9,60.6,9.6,28.1,25.8,89.6,45,22,27.5,28.3,44.2,6
19,19,1/21/23,C,Youngstown St.,Horz,Milwaukee,A,"L, 88-75",108.6,130.1,68.3,109.9,44.4,13.2,41,39.7,128.9,63.5,19,42.4,22.2,11.2,-7
20,20,12/16/22,N,Youngstown St.,Horz,Southern,H,"W, 85-81",108.3,117.7,76.7,110.8,56.5,22.2,29.6,57.4,105.6,56.3,18.3,25,22.2,27.8,2
21,21,1/14/23,C,Youngstown St.,Horz,Oakland,A,"W, 85-69",107.7,93.8,74.5,114.1,67.2,28.2,34.6,13.8,92.6,48.3,18.8,12.1,18.3,83,9
22,22,12/11/22,N,Youngstown St.,Horz,Ohio,H,"L, 81-79",105.7,114.6,69.9,113,47.8,12.9,34.1,22.1,115.8,60.5,22.9,43.3,16.1,28.2,-6
23,23,11/19/22,N,Youngstown St.,Horz,UC San Diego,N,"W, 73-54",105.7,88.6,64.4,113.3,59,21.7,26.9,36,83.8,39.1,21.7,41.9,10.9,88.4,6
24,24,11/20/22,N,Youngstown St.,Horz,Navy,A,"L, 80-67",105.4,125.6,64.9,103.3,43.9,17,41.3,22.7,123.3,69.4,17,13.6,32.7,11.7,-8
25,25,2/21/23,C,Youngstown St.,Horz,Robert Morris,A,"L, 83-64",103.9,123.9,66.9,95.7,53.2,23.9,22.2,42.6,124.1,70.4,19.4,18.2,16.7,11.7,-2
26,26,3/6/23,CT,Youngstown St.,Horz,Northern Kentucky,N,"L, 75-63",101.5,122.8,62.6,100.6,49.1,20.8,33.3,24.5,119.8,39.8,4.8,40.5,64.4,10,-9
27,27,12/31/22,C,Youngstown St.,Horz,Fort Wayne,H,"L, 76-71",100.7,116.9,68.7,103.4,43.3,14.6,34.1,23.9,110.7,64.3,17.5,16.7,17.9,15.3,-3
28,28,1/29/23,C,Youngstown St.,Horz,Detroit,H,"W, 73-63",97.3,97.8,65.2,111.9,54.2,12.3,23.5,16.7,96.6,45.8,21.5,37.1,20.3,48.3,-1
29,29,12/1/22,C,Youngstown St.,Horz,Northern Kentucky,A,"L, 77-73",94.1,94,65,89.9,47.5,29.6,33.3,35,94.8,42.4,17.2,32,30.6,50.2,-1
30,30,2/2/23,C,Youngstown St.,Horz,Wright St.,H,"W, 91-89",92.1,95.8,69.5,95.2,43,12.6,21.8,27.9,93.1,46.6,11.5,20.4,13.8,38.8,-1
31,31,3/2/23,CT,Youngstown St.,Horz,Detroit,H,"W, 71-66",89.6,93.6,70,101.4,48.2,15.7,24.2,43.6,94.3,39.7,18.6,37.8,20.6,37.8,-2
