Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,Houston,Amer,30-2,29.3,119.1,89.8,63.5,0.035,3.37,107,103.7,0.58
2,UCLA,P12,29-4,27.93,115.8,87.9,66.5,0.015,8.55,109.5,100.9,0.79
3,Alabama,SEC,27-5,26.78,116.3,89.6,73.1,0.073,11.31,110.6,99.3,10.38
4,Connecticut,BE,25-8,25.3,119.4,94.1,66.8,-0.061,8.5,109.3,100.8,-1.37
5,Tennessee,SEC,23-10,24.67,112.7,88,65.6,-0.071,8.78,109.6,100.8,3.17
6,Purdue,B10,27-5,24.36,119.6,95.2,64.3,0.025,9.52,110.2,100.7,0.88
7,Gonzaga,WCC,28-5,24.23,124,99.8,70.2,0.047,7.48,110.3,102.9,8.24
8,Kansas,B12,27-6,24.07,115.3,91.3,69.5,0.099,13.93,111.7,97.8,6.96
9,Texas,B12,25-8,23.58,116.4,92.8,69.3,0.021,11.8,111,99.2,-0.64
10,Arizona,P12,27-6,22.58,120.5,98,72.6,0.032,8.33,107.9,99.5,3.6
11,Saint Mary's,WCC,26-7,21.88,113.6,91.7,61.9,0.004,6.4,110.4,104,4.64
12,Marquette,BE,27-6,21.1,120,98.9,68.7,0.016,8.33,109.3,101,-1.11
13,Creighton,BE,21-12,20.63,114.6,94,68,-0.074,10.36,111.1,100.8,6.4
14,Xavier,BE,25-8,20.37,120.6,100.3,70.7,-0.014,9.36,110.1,100.8,3.99
15,San Diego St.,MWC,26-6,20.05,112.6,92.6,66.1,0.041,8.7,110.3,101.6,7.56
16,Baylor,B12,22-10,19.97,121.9,101.9,66.6,0.032,12.98,111,98.1,2.01
17,West Virginia,B12,19-14,19.19,117.2,98,68.9,-0.054,12.85,111.2,98.4,2.4
18,Utah St.,MWC,26-7,19.1,118.7,99.6,68.9,0.019,7.34,108.8,101.5,3.58
19,Arkansas,SEC,20-13,18.6,112.7,94.1,69.8,-0.072,9.92,110.1,100.2,3.79
20,Texas A&M,SEC,24-8,18.46,114.4,95.9,66.2,0.036,7.04,108.4,101.4,-2.47
21,Maryland,B10,21-12,18.39,114.2,95.8,64.7,-0.039,8.07,109.5,101.4,-3.83
22,Iowa St.,B12,19-13,18.36,110,91.6,64.4,-0.034,12.95,112.5,99.6,-1.24
23,Kansas St.,B12,23-9,18.3,112.6,94.3,70.3,0.036,10.43,109.5,99,-2.56
24,Duke,ACC,25-8,18.06,113.7,95.6,65.3,0.056,6.59,109.9,103.3,2.25
25,TCU,B12,21-12,18.02,112.5,94.4,69.9,-0.034,10.71,109.9,99.2,-7.02
26,Kentucky,SEC,21-11,17.82,117.5,99.7,66.1,-0.014,8.72,109.6,100.9,0.89
27,Indiana,B10,22-10,17.7,114.9,97.2,68.1,0.037,10.49,110.7,100.2,-3.31
28,Auburn,SEC,20-12,17.35,112.7,95.4,67.7,-0.029,9.68,109.6,99.9,3.8
29,Florida Atlantic,CUSA,30-3,17.31,114.5,97.2,68.5,0.058,0.06,105.5,105.4,-2.5
30,Boise St.,MWC,24-9,17.17,111,93.9,66.6,0.013,7.67,109.7,102,1.46
31,Virginia,ACC,25-6,16.99,112.1,95.2,61.6,0.05,5.21,108.5,103.3,1.92
32,Michigan St.,B10,19-12,16.73,113.5,96.8,65,0.015,12.32,112.4,100.1,5.71
33,Memphis,Amer,24-8,16.69,114,97.4,72,-0.055,6.79,108.4,101.6,6.51
34,Illinois,B10,20-12,16.47,112.2,95.7,69.5,-0.045,8.51,109.3,100.8,-5.94
35,Rutgers,B10,19-14,15.78,105.9,90.1,66,-0.092,8.01,110,102,-7.69
36,Iowa,B10,19-13,15.63,120.6,105,69.7,-0.042,9.68,109,99.4,-2.08
37,USC,P12,22-10,15.63,113.2,97.5,68.2,0.018,7.87,107.6,99.7,1.67
38,Oklahoma St.,B12,18-15,15.17,107.9,92.7,67.7,-0.026,12.33,110.9,98.6,0.77
39,Miami FL,ACC,25-7,14.91,118.3,103.4,69,0.017,4.81,108.2,103.3,-2.64
40,Oregon,P12,19-14,14.86,114.5,99.7,66.4,-0.015,10.11,109.2,99.1,6.23
41,Northwestern,B10,21-11,14.83,108.6,93.8,65.1,0.033,8.64,109.6,100.9,-4.19
42,Nevada,MWC,22-10,14.81,112.1,97.3,66.2,0.013,7.76,109.7,101.9,3.88
43,Providence,BE,21-11,14.72,116.9,102.2,67,-0.01,6.59,108.5,101.9,-8.92
44,North Carolina,ACC,20-13,14.71,112.2,97.5,69.1,-0.072,7.67,109.8,102.1,7.08
45,Michigan,B10,17-15,14.69,112.8,98.2,67.6,-0.072,9.67,109.7,100.1,0.22
46,North Texas,CUSA,26-7,14.69,110.2,95.5,58.9,0.059,1.89,106.2,104.3,1.73
47,Penn St.,B10,21-12,14.52,117.1,102.6,64.5,0.015,9.02,109.2,100.2,-4.7
48,Liberty,ASun,26-8,14.48,112.7,98.3,64.6,-0.034,-2.53,103.9,106.4,1.83
49,Ohio St.,B10,16-18,14.35,116,101.6,66.1,-0.119,10.92,110.5,99.5,-2.4
50,Mississippi St.,SEC,21-12,14.02,105.4,91.4,63.9,0.008,7.56,108.8,101.2,-3.31
51,Missouri,SEC,24-8,14.01,120,106,69.4,0.121,7.07,107.9,100.8,-4.58
52,Cincinnati,Amer,21-11,13.88,113.1,99.2,68.6,-0.04,3.33,107.4,104.1,-2.53
53,New Mexico,MWC,22-11,13.87,116.1,102.3,71.7,-0.03,5.78,108.4,102.6,-0.31
54,UAB,CUSA,25-8,13.74,113.8,100.1,70.7,-0.045,-0.05,105.1,105.1,-4.34
55,Oklahoma,B12,15-17,13.67,111.2,97.5,65.4,-0.044,13.32,110.5,97.2,4.08
56,N.C. State,ACC,23-10,13.35,114,100.7,69.2,0.03,4.89,108.7,103.8,-4.8
57,Oral Roberts,Sum,30-4,13.28,115.4,102.1,70.6,0.103,-3.92,104.3,108.3,8.13
58,Washington St.,P12,17-16,13.22,112,98.8,64.4,-0.071,9.2,109.5,100.3,5.19
59,Colorado,P12,17-16,13.1,107.8,94.7,69.1,-0.078,8.65,108.7,100,3.99
60,Villanova,BE,17-16,12.97,113.9,100.9,63.8,-0.067,9.43,110.3,100.9,4.11
61,Texas Tech,B12,16-16,12.94,112,99,67.3,-0.08,9.85,110.3,100.4,-7.02
62,Florida,SEC,16-16,12.8,108.3,95.5,69.5,-0.077,9.48,110.2,100.8,5.24
63,Clemson,ACC,23-10,12.7,111.2,98.5,68.3,0.016,2.75,107.9,105.1,-5.56
64,Drake,MVC,27-7,12.53,110,97.4,66.5,0.026,-1.59,104.1,105.7,-1.66
65,UCF,Amer,18-14,12.49,110.1,97.6,64.6,-0.113,3.98,107.5,103.6,-0.24
66,Arizona St.,P12,22-12,12.33,107.6,95.3,68.5,0.069,8.67,109.1,100.4,1.25
67,Sam Houston St.,WAC,25-7,12.31,106.7,94.4,64.5,0.052,2.23,106.1,103.8,7.3
68,Yale,Ivy,20-7,12.19,111.1,98.9,66.3,-0.037,-1.31,104,105.3,0.33
69,Seton Hall,BE,17-15,12.19,106.7,94.6,66.6,-0.042,9.43,110.2,100.8,2.58
70,VCU,A10,25-7,12.02,106,94,68.2,0.017,-0.04,104.9,104.9,-1.83
71,Utah,P12,17-15,11.84,107.8,95.9,66.3,-0.077,6.86,107.8,100.9,-3.62
72,Charleston,CAA,31-3,11.72,111.5,99.8,71.1,0.052,-5.71,102.4,108.1,-1.98
73,BYU,WCC,19-15,11.58,109.3,97.7,69.7,-0.103,5.35,108.6,103.2,1.36
74,Dayton,A10,21-11,11.58,109.2,97.6,62.9,-0.061,-0.29,104.7,105,-1.66
75,Wisconsin,B10,17-14,11.55,106.6,95,63.2,0.004,10.68,111.4,100.7,1.18
76,Iona,MAAC,26-7,11.43,111.1,99.7,68.9,-0.005,-3.59,102.8,106.4,4.23
77,Pittsburgh,ACC,22-11,11.24,115.2,104,67.4,0.03,3.69,108.2,104.5,-2.97
78,Kent St.,MAC,27-6,11.16,107.6,96.4,68.2,0.02,-1.75,106,107.8,3.49
79,Vanderbilt,SEC,20-13,11.01,115.7,104.7,66.6,0.086,9.05,109.2,100.2,2.14
80,Utah Valley,WAC,25-8,10.98,107.5,96.5,70.1,0.046,2.18,106.4,104.2,5.16
81,Virginia Tech,ACC,19-14,10.25,114,103.7,66.7,-0.06,4.62,108.2,103.6,-3.82
82,Santa Clara,WCC,23-9,10.12,111.4,101.3,70.2,0.09,4.32,108.8,104.5,1.08
83,Toledo,MAC,27-6,9.85,119.6,109.7,69.7,0.04,-3.68,104.2,107.9,-1.09
84,Marshall,SB,24-8,9.78,111.4,101.6,72.2,-0.063,-2.62,104,106.6,-3.38
85,Stanford,P12,14-19,9.67,114.1,104.4,65.9,-0.125,8.08,107.9,99.8,-0.28
86,St. John's,BE,18-15,9.42,107.9,98.5,73.5,-0.013,6.77,108.5,101.7,-7.67
87,Bradley,MVC,25-9,9.26,107.2,98,65.3,0.063,-1.05,104.1,105.2,0.34
88,Wake Forest,ACC,19-14,8.58,112.2,103.6,69.7,-0.012,4.99,108.2,103.2,-2.15
89,Furman,SC,27-7,8.41,114.3,105.9,68.6,0,-4.38,104.1,108.5,-2.07
90,Hofstra,CAA,24-9,8.34,110.3,102,67.3,0.032,-3.39,103,106.4,6.8
91,UNLV,MWC,19-13,8.25,107.9,99.7,69.6,0.014,5.65,108,102.3,-2.47
92,Louisiana,SB,26-7,8.19,112.4,104.2,68.5,0.077,-0.23,104.4,104.6,0.27
93,San Jose St.,MWC,20-13,7.92,110.8,102.8,62.8,0.086,6.92,108.7,101.7,-1.06
94,Saint Louis,A10,21-11,7.74,111.6,103.9,69.3,0.033,2.05,105.2,103.2,4.11
95,South Alabama,SB,19-16,7.73,108.3,100.5,65.9,-0.111,0.95,105,104.1,3.82
